time_point,subject,task,time_cat,trait,n,sum,phase
4,kianga,gaze,4,1,4,1,1
4,kibara,gaze,4,1,4,0,1
4,kio,gaze,4,1,8,0,1
4,kisha,gaze,4,1,8,1,1
4,kumili,gaze,4,1,7,0,1
4,kuno,gaze,4,1,8,0,1
4,lexi,gaze,4,1,8,0,1
4,luiza,gaze,4,1,8,1,1
4,maja,gaze,4,1,6,5,1
4,makeni,gaze,4,1,6,0,1
4,natascha,gaze,4,1,8,0,1
4,ohini,gaze,4,1,8,0,1
4,padana,gaze,4,1,8,1,1
4,pini,gaze,4,1,8,0,1
4,raja,gaze,4,1,4,0,1
4,riet,gaze,4,1,8,8,1
4,robert,gaze,4,1,8,0,1
4,sandra,gaze,4,1,6,3,1
4,shanga,gaze,4,1,8,1,1
4,swela,gaze,4,1,8,3,1
4,tai,gaze,4,1,6,1,1
4,yaro,gaze,4,1,8,2,1
4,yasa,gaze,4,1,6,1,1
4,youma,gaze,4,1,8,0,1
4,zira,gaze,4,1,8,2,1
5,abeeku,gaze,5,1,4,0,1
5,alex,gaze,5,1,8,0,1
5,azibo,gaze,5,1,8,0,1
5,bambari,gaze,5,1,6,2,1
5,bimbo,gaze,5,1,8,0,1
5,corrie,gaze,5,1,8,2,1
5,daza,gaze,5,1,8,0,1
5,diara,gaze,5,1,8,0,1
5,dokana,gaze,5,1,8,0,1
5,dorien,gaze,5,1,8,0,1
5,fraukje,gaze,5,1,8,1,1
5,frederike,gaze,5,1,8,0,1
5,frodo,gaze,5,1,8,0,1
5,hope,gaze,5,1,8,0,1
5,jasongo,gaze,5,1,6,1,1
5,jeudi,gaze,5,1,8,0,1
5,joey,gaze,5,1,8,0,1
5,kasai,gaze,5,1,6,0,1
5,kianga,gaze,5,1,6,0,1
5,kibara,gaze,5,1,7,1,1
5,kio,gaze,5,1,8,0,1
5,kisha,gaze,5,1,8,1,1
5,kumili,gaze,5,1,7,0,1
5,kuno,gaze,5,1,8,1,1
5,lexi,gaze,5,1,8,0,1
5,luiza,gaze,5,1,8,0,1
5,maja,gaze,5,1,6,5,1
5,makeni,gaze,5,1,6,1,1
5,natascha,gaze,5,1,6,0,1
5,ohini,gaze,5,1,8,0,1
5,padana,gaze,5,1,8,1,1
5,pini,gaze,5,1,8,0,1
5,raja,gaze,5,1,6,0,1
5,riet,gaze,5,1,8,8,1
5,robert,gaze,5,1,8,0,1
5,sandra,gaze,5,1,8,4,1
5,shanga,gaze,5,1,8,0,1
5,swela,gaze,5,1,8,2,1
5,tai,gaze,5,1,8,0,1
5,yaro,gaze,5,1,7,0,1
5,yasa,gaze,5,1,8,0,1
5,youma,gaze,5,1,8,0,1
5,zira,gaze,5,1,8,0,1
6,abeeku,gaze,6,1,8,0,1
6,alex,gaze,6,1,7,0,1
6,azibo,gaze,6,1,8,0,1
6,bambari,gaze,6,1,8,2,1
6,corrie,gaze,6,1,8,0,1
6,daza,gaze,6,1,6,0,1
6,diara,gaze,6,1,6,0,1
6,dorien,gaze,6,1,8,0,1
6,fraukje,gaze,6,1,8,0,1
6,frederike,gaze,6,1,8,0,1
6,frodo,gaze,6,1,8,0,1
6,hope,gaze,6,1,8,3,1
6,jeudi,gaze,6,1,4,0,1
6,kianga,gaze,6,1,6,0,1
6,kibara,gaze,6,1,6,0,1
6,kio,gaze,6,1,5,0,1
6,kisha,gaze,6,1,8,1,1
6,kumili,gaze,6,1,8,1,1
6,maja,gaze,6,1,8,4,1
6,makeni,gaze,6,1,8,0,1
6,natascha,gaze,6,1,8,0,1
6,ohini,gaze,6,1,8,0,1
6,riet,gaze,6,1,8,7,1
6,robert,gaze,6,1,8,2,1
6,sandra,gaze,6,1,8,3,1
6,shanga,gaze,6,1,8,1,1
6,swela,gaze,6,1,8,0,1
6,tai,gaze,6,1,8,0,1
6,youma,gaze,6,1,8,0,1
6,zira,gaze,6,1,8,1,1
7,abeeku,gaze,7,1,7,0,1
7,alex,gaze,7,1,8,0,1
7,azibo,gaze,7,1,8,0,1
7,bambari,gaze,7,1,8,2,1
7,bimbo,gaze,7,1,8,0,1
7,corrie,gaze,7,1,6,0,1
7,daza,gaze,7,1,8,1,1
7,diara,gaze,7,1,8,0,1
7,dokana,gaze,7,1,8,0,1
7,dorien,gaze,7,1,8,2,1
7,fraukje,gaze,7,1,6,0,1
7,frederike,gaze,7,1,8,0,1
7,frodo,gaze,7,1,8,0,1
7,hope,gaze,7,1,8,1,1
7,jeudi,gaze,7,1,4,0,1
7,kianga,gaze,7,1,6,0,1
7,kibara,gaze,7,1,8,0,1
7,kio,gaze,7,1,7,0,1
7,kisha,gaze,7,1,8,1,1
7,kumili,gaze,7,1,8,0,1
7,maja,gaze,7,1,8,4,1
7,makeni,gaze,7,1,8,0,1
7,natascha,gaze,7,1,6,0,1
7,ohini,gaze,7,1,8,0,1
7,padana,gaze,7,1,8,0,1
7,pini,gaze,7,1,8,0,1
7,raja,gaze,7,1,8,0,1
7,riet,gaze,7,1,8,6,1
7,robert,gaze,7,1,8,0,1
7,sandra,gaze,7,1,8,1,1
7,shanga,gaze,7,1,8,0,1
7,swela,gaze,7,1,8,0,1
7,tai,gaze,7,1,8,0,1
7,youma,gaze,7,1,8,0,1
7,zira,gaze,7,1,8,4,1
8,abeeku,gaze,8,1,8,0,1
8,alex,gaze,8,1,8,0,1
8,azibo,gaze,8,1,8,1,1
8,bambari,gaze,8,1,8,0,1
8,bimbo,gaze,8,1,8,0,1
8,corrie,gaze,8,1,6,1,1
8,daza,gaze,8,1,8,0,1
8,diara,gaze,8,1,8,0,1
8,dokana,gaze,8,1,8,0,1
8,dorien,gaze,8,1,8,1,1
8,fraukje,gaze,8,1,6,0,1
8,frederike,gaze,8,1,8,0,1
8,frodo,gaze,8,1,8,0,1
8,hope,gaze,8,1,8,1,1
8,jasongo,gaze,8,1,8,3,1
8,jeudi,gaze,8,1,6,1,1
8,kasai,gaze,8,1,8,0,1
8,kianga,gaze,8,1,4,0,1
8,kibara,gaze,8,1,8,0,1
8,kio,gaze,8,1,7,0,1
8,kisha,gaze,8,1,8,0,1
8,kumili,gaze,8,1,8,0,1
8,kuno,gaze,8,1,8,0,1
8,lexi,gaze,8,1,8,1,1
8,luiza,gaze,8,1,8,0,1
8,maja,gaze,8,1,8,2,1
8,makeni,gaze,8,1,8,1,1
8,natascha,gaze,8,1,6,0,1
8,ohini,gaze,8,1,8,0,1
8,padana,gaze,8,1,8,0,1
8,pini,gaze,8,1,8,3,1
8,raja,gaze,8,1,8,0,1
8,riet,gaze,8,1,8,7,1
8,robert,gaze,8,1,6,0,1
8,sandra,gaze,8,1,8,1,1
8,shanga,gaze,8,1,8,0,1
8,swela,gaze,8,1,8,0,1
8,tai,gaze,8,1,8,0,1
8,yaro,gaze,8,1,6,0,1
8,yasa,gaze,8,1,8,0,1
8,youma,gaze,8,1,8,0,1
8,zira,gaze,8,1,8,2,1
9,abeeku,gaze,9,1,8,0,1
9,alex,gaze,9,1,5,2,1
9,azibo,gaze,9,1,8,1,1
9,bambari,gaze,9,1,6,2,1
9,bimbo,gaze,9,1,8,0,1
9,corrie,gaze,9,1,8,0,1
9,daza,gaze,9,1,8,0,1
9,diara,gaze,9,1,8,0,1
9,dokana,gaze,9,1,8,0,1
9,dorien,gaze,9,1,8,0,1
9,fraukje,gaze,9,1,6,0,1
9,frederike,gaze,9,1,8,0,1
9,frodo,gaze,9,1,8,0,1
9,hope,gaze,9,1,8,1,1
9,jasongo,gaze,9,1,4,3,1
9,jeudi,gaze,9,1,4,0,1
9,joey,gaze,9,1,4,0,1
9,kasai,gaze,9,1,7,0,1
9,kianga,gaze,9,1,8,0,1
9,kibara,gaze,9,1,8,2,1
9,kio,gaze,9,1,7,0,1
9,kisha,gaze,9,1,6,0,1
9,kumili,gaze,9,1,8,0,1
9,kuno,gaze,9,1,7,0,1
9,lexi,gaze,9,1,8,0,1
9,luiza,gaze,9,1,8,0,1
9,maja,gaze,9,1,4,3,1
9,makeni,gaze,9,1,8,0,1
9,natascha,gaze,9,1,6,0,1
9,ohini,gaze,9,1,8,2,1
9,padana,gaze,9,1,8,0,1
9,pini,gaze,9,1,8,0,1
9,raja,gaze,9,1,8,0,1
9,riet,gaze,9,1,8,8,1
9,robert,gaze,9,1,8,0,1
9,sandra,gaze,9,1,8,4,1
9,shanga,gaze,9,1,8,0,1
9,swela,gaze,9,1,8,0,1
9,tai,gaze,9,1,8,0,1
9,yaro,gaze,9,1,6,0,1
9,yasa,gaze,9,1,8,1,1
9,youma,gaze,9,1,8,0,1
9,zira,gaze,9,1,8,3,1
10,abeeku,gaze,10,1,7,1,1
10,alex,gaze,10,1,8,3,1
10,azibo,gaze,10,1,8,0,1
10,bambari,gaze,10,1,8,0,1
10,bimbo,gaze,10,1,8,0,1
10,corrie,gaze,10,1,8,0,1
10,daza,gaze,10,1,7,0,1
10,diara,gaze,10,1,8,0,1
10,dokana,gaze,10,1,8,0,1
10,dorien,gaze,10,1,8,0,1
10,fraukje,gaze,10,1,6,1,1
10,frederike,gaze,10,1,8,0,1
10,frodo,gaze,10,1,8,0,1
10,hope,gaze,10,1,8,2,1
10,jasongo,gaze,10,1,4,3,1
10,jeudi,gaze,10,1,8,0,1
10,joey,gaze,10,1,4,0,1
10,kasai,gaze,10,1,8,0,1
10,kianga,gaze,10,1,8,0,1
10,kibara,gaze,10,1,8,0,1
10,kio,gaze,10,1,7,0,1
10,kisha,gaze,10,1,8,0,1
10,kumili,gaze,10,1,6,0,1
10,kuno,gaze,10,1,5,0,1
10,lexi,gaze,10,1,4,0,1
10,luiza,gaze,10,1,8,0,1
