time_point,subject,task,time_cat,trait,n,sum,phase
5,amira,comm,5,1,12,8,2
5,azibo,comm,5,1,12,8,2
5,bimbo,comm,5,1,12,8,2
5,corrie,comm,5,1,12,5,2
5,daza,comm,5,1,11,6,2
5,diara,comm,5,1,12,6,2
5,dokana,comm,5,1,12,10,2
5,fraukje,comm,5,1,12,12,2
5,frederike,comm,5,1,12,11,2
5,frodo,comm,5,1,12,12,2
5,hope,comm,5,1,12,11,2
5,jeudi,comm,5,1,8,5,2
5,kasai,comm,5,1,12,8,2
5,kianga,comm,5,1,12,6,2
5,kibara,comm,5,1,12,2,2
5,kio,comm,5,1,12,9,2
5,kisha,comm,5,1,5,2,2
5,kumili,comm,5,1,12,12,2
5,kuno,comm,5,1,12,9,2
5,lexi,comm,5,1,6,5,2
5,luiza,comm,5,1,12,12,2
5,maja,comm,5,1,4,4,2
5,makeni,comm,5,1,12,7,2
5,natascha,comm,5,1,12,8,2
5,ohini,comm,5,1,12,8,2
5,padana,comm,5,1,8,3,2
5,pini,comm,5,1,8,7,2
5,raja,comm,5,1,8,4,2
5,riet,comm,5,1,1,1,2
5,sandra,comm,5,1,12,8,2
5,sari,comm,5,1,6,4,2
5,sumai,comm,5,1,5,5,2
5,swela,comm,5,1,12,3,2
5,tai,comm,5,1,12,4,2
5,tayo,comm,5,1,12,6,2
5,yaro,comm,5,1,12,5,2
5,yasa,comm,5,1,12,2,2
5,youma,comm,5,1,12,7,2
5,zira,comm,5,1,12,12,2
6,abeeku,comm,6,1,1,0,2
6,alex,comm,6,1,12,12,2
6,amira,comm,6,1,12,10,2
6,azibo,comm,6,1,12,8,2
6,bimbo,comm,6,1,12,11,2
6,daza,comm,6,1,12,3,2
6,diara,comm,6,1,12,8,2
6,dokana,comm,6,1,12,8,2
6,fraukje,comm,6,1,12,10,2
6,frederike,comm,6,1,12,12,2
6,frodo,comm,6,1,12,10,2
6,hope,comm,6,1,12,12,2
6,jasongo,comm,6,1,12,8,2
6,kasai,comm,6,1,12,11,2
6,kianga,comm,6,1,12,9,2
6,kibara,comm,6,1,12,3,2
6,kio,comm,6,1,11,11,2
6,kumili,comm,6,1,12,10,2
6,kuno,comm,6,1,12,9,2
6,lexi,comm,6,1,12,9,2
6,luiza,comm,6,1,12,12,2
6,makeni,comm,6,1,12,9,2
6,natascha,comm,6,1,12,10,2
6,ohini,comm,6,1,12,7,2
6,padana,comm,6,1,12,6,2
6,pini,comm,6,1,12,12,2
6,raja,comm,6,1,12,9,2
6,riet,comm,6,1,12,10,2
6,sandra,comm,6,1,12,6,2
6,sari,comm,6,1,6,4,2
6,sumai,comm,6,1,12,10,2
6,swela,comm,6,1,12,10,2
6,tai,comm,6,1,12,7,2
6,tayo,comm,6,1,12,7,2
6,yaro,comm,6,1,12,7,2
6,yasa,comm,6,1,12,5,2
6,youma,comm,6,1,12,8,2
6,zira,comm,6,1,12,12,2
7,abeeku,comm,7,1,6,4,2
7,alex,comm,7,1,1,1,2
7,amira,comm,7,1,12,11,2
7,azibo,comm,7,1,12,7,2
7,bimbo,comm,7,1,12,11,2
7,corrie,comm,7,1,12,9,2
7,daza,comm,7,1,5,0,2
7,diara,comm,7,1,12,10,2
7,dokana,comm,7,1,12,10,2
7,fraukje,comm,7,1,12,11,2
7,frederike,comm,7,1,8,7,2
7,frodo,comm,7,1,12,11,2
7,hope,comm,7,1,12,11,2
7,jasongo,comm,7,1,12,11,2
7,jeudi,comm,7,1,12,12,2
7,joey,comm,7,1,3,1,2
7,kasai,comm,7,1,12,10,2
7,kianga,comm,7,1,12,8,2
7,kibara,comm,7,1,12,3,2
7,kio,comm,7,1,12,12,2
7,kisha,comm,7,1,5,2,2
