time_point,subject,task,time_cat,trait,n,sum,phase
1,abeeku,cause,1,1,2,2,1
1,alex,cause,1,1,12,12,1
1,azibo,cause,1,1,12,11,1
1,bambari,cause,1,1,6,4,1
1,bimbo,cause,1,1,12,11,1
1,corrie,cause,1,1,12,5,1
1,daza,cause,1,1,12,11,1
1,diara,cause,1,1,12,6,1
1,dokana,cause,1,1,12,10,1
1,dorien,cause,1,1,12,9,1
1,fraukje,cause,1,1,12,10,1
1,frederike,cause,1,1,12,12,1
1,frodo,cause,1,1,12,11,1
1,hope,cause,1,1,12,11,1
1,jasongo,cause,1,1,12,11,1
1,jeudi,cause,1,1,12,10,1
1,joey,cause,1,1,12,10,1
1,kasai,cause,1,1,12,9,1
1,kianga,cause,1,1,12,6,1
1,kibara,cause,1,1,12,9,1
1,kio,cause,1,1,12,6,1
1,kisha,cause,1,1,12,8,1
1,kumili,cause,1,1,12,11,1
1,kuno,cause,1,1,12,12,1
1,lexi,cause,1,1,12,12,1
1,luiza,cause,1,1,12,11,1
1,maja,cause,1,1,12,8,1
1,makeni,cause,1,1,12,7,1
1,natascha,cause,1,1,12,3,1
1,ohini,cause,1,1,12,6,1
1,padana,cause,1,1,12,12,1
1,pini,cause,1,1,12,12,1
1,raja,cause,1,1,12,11,1
1,riet,cause,1,1,12,11,1
1,robert,cause,1,1,12,4,1
1,sandra,cause,1,1,12,12,1
1,shanga,cause,1,1,12,7,1
1,swela,cause,1,1,12,6,1
1,tai,cause,1,1,12,5,1
1,yaro,cause,1,1,12,10,1
1,yasa,cause,1,1,12,6,1
1,youma,cause,1,1,12,7,1
1,zira,cause,1,1,12,9,1
2,abeeku,cause,2,1,4,2,1
2,alex,cause,2,1,12,12,1
2,azibo,cause,2,1,12,12,1
2,bambari,cause,2,1,12,6,1
2,bimbo,cause,2,1,12,10,1
2,corrie,cause,2,1,12,6,1
2,daza,cause,2,1,12,8,1
2,diara,cause,2,1,12,6,1
2,dokana,cause,2,1,12,12,1
2,dorien,cause,2,1,12,8,1
2,fraukje,cause,2,1,12,12,1
2,frederike,cause,2,1,12,11,1
2,frodo,cause,2,1,12,11,1
2,hope,cause,2,1,12,11,1
2,kasai,cause,2,1,12,8,1
2,kianga,cause,2,1,12,7,1
2,kibara,cause,2,1,12,7,1
2,kio,cause,2,1,12,6,1
2,kisha,cause,2,1,12,8,1
2,kumili,cause,2,1,12,12,1
2,kuno,cause,2,1,12,12,1
2,lexi,cause,2,1,12,12,1
2,luiza,cause,2,1,12,8,1
2,maja,cause,2,1,2,1,1
2,makeni,cause,2,1,12,6,1
2,natascha,cause,2,1,12,4,1
2,ohini,cause,2,1,12,6,1
2,padana,cause,2,1,12,11,1
2,pini,cause,2,1,12,12,1
2,riet,cause,2,1,12,9,1
2,robert,cause,2,1,12,5,1
2,sandra,cause,2,1,12,12,1
2,shanga,cause,2,1,12,9,1
2,swela,cause,2,1,12,6,1
2,tai,cause,2,1,12,5,1
2,yaro,cause,2,1,12,8,1
2,yasa,cause,2,1,12,1,1
2,youma,cause,2,1,12,9,1
2,zira,cause,2,1,12,11,1
3,abeeku,cause,3,1,8,3,1
3,alex,cause,3,1,12,11,1
3,azibo,cause,3,1,12,9,1
3,bambari,cause,3,1,12,5,1
3,bimbo,cause,3,1,12,12,1
3,corrie,cause,3,1,12,6,1
3,daza,cause,3,1,12,12,1
3,diara,cause,3,1,12,10,1
3,dokana,cause,3,1,12,12,1
3,dorien,cause,3,1,12,6,1
3,fraukje,cause,3,1,12,12,1
3,frederike,cause,3,1,12,11,1
3,frodo,cause,3,1,12,10,1
3,hope,cause,3,1,12,9,1
3,jeudi,cause,3,1,12,9,1
3,kianga,cause,3,1,12,6,1
3,kibara,cause,3,1,12,11,1
3,kio,cause,3,1,12,6,1
3,kisha,cause,3,1,12,6,1
3,kumili,cause,3,1,12,12,1
3,kuno,cause,3,1,12,12,1
3,lexi,cause,3,1,12,12,1
3,maja,cause,3,1,12,4,1
3,makeni,cause,3,1,12,6,1
3,natascha,cause,3,1,12,4,1
3,ohini,cause,3,1,12,6,1
3,padana,cause,3,1,12,12,1
3,pini,cause,3,1,12,12,1
3,riet,cause,3,1,12,10,1
3,robert,cause,3,1,12,5,1
3,sandra,cause,3,1,12,12,1
3,shanga,cause,3,1,12,11,1
3,swela,cause,3,1,12,9,1
3,tai,cause,3,1,12,8,1
3,yaro,cause,3,1,12,9,1
3,yasa,cause,3,1,12,1,1
3,youma,cause,3,1,12,6,1
3,zira,cause,3,1,12,12,1
4,abeeku,cause,4,1,12,8,1
4,alex,cause,4,1,12,12,1
4,azibo,cause,4,1,12,9,1
4,bambari,cause,4,1,3,2,1
4,corrie,cause,4,1,12,6,1
4,daza,cause,4,1,12,11,1
4,diara,cause,4,1,12,11,1
4,dokana,cause,4,1,12,12,1
4,dorien,cause,4,1,12,5,1
4,fraukje,cause,4,1,12,11,1
4,frederike,cause,4,1,12,11,1
4,frodo,cause,4,1,12,9,1
4,hope,cause,4,1,12,11,1
4,jasongo,cause,4,1,12,9,1
4,joey,cause,4,1,12,9,1
4,kasai,cause,4,1,12,6,1
4,kianga,cause,4,1,12,6,1
4,kibara,cause,4,1,12,8,1
4,kio,cause,4,1,12,7,1
4,kisha,cause,4,1,12,6,1
4,kumili,cause,4,1,12,10,1
4,kuno,cause,4,1,12,12,1
4,lexi,cause,4,1,12,12,1
4,luiza,cause,4,1,12,12,1
4,maja,cause,4,1,12,8,1
4,makeni,cause,4,1,3,1,1
4,natascha,cause,4,1,12,3,1
4,ohini,cause,4,1,12,6,1
4,padana,cause,4,1,12,12,1
4,pini,cause,4,1,12,12,1
4,riet,cause,4,1,12,11,1
4,robert,cause,4,1,12,7,1
4,sandra,cause,4,1,1,1,1
4,shanga,cause,4,1,12,10,1
4,swela,cause,4,1,12,7,1
4,tai,cause,4,1,12,7,1
4,yaro,cause,4,1,12,8,1
4,yasa,cause,4,1,12,5,1
4,youma,cause,4,1,12,6,1
4,zira,cause,4,1,12,9,1
5,abeeku,cause,5,1,12,8,1
5,alex,cause,5,1,12,12,1
5,azibo,cause,5,1,12,9,1
5,bambari,cause,5,1,12,7,1
5,bimbo,cause,5,1,12,11,1
5,corrie,cause,5,1,12,7,1
5,daza,cause,5,1,12,12,1
5,diara,cause,5,1,12,11,1
5,dokana,cause,5,1,12,12,1
5,dorien,cause,5,1,12,11,1
5,fraukje,cause,5,1,12,12,1
5,frederike,cause,5,1,12,9,1
5,frodo,cause,5,1,12,11,1
5,hope,cause,5,1,12,12,1
5,jasongo,cause,5,1,12,12,1
5,jeudi,cause,5,1,12,8,1
5,joey,cause,5,1,12,8,1
5,kasai,cause,5,1,12,11,1
5,kianga,cause,5,1,12,6,1
5,kibara,cause,5,1,12,12,1
5,kio,cause,5,1,12,9,1
5,kisha,cause,5,1,12,5,1
5,kumili,cause,5,1,12,12,1
5,kuno,cause,5,1,12,12,1
5,lexi,cause,5,1,12,10,1
5,luiza,cause,5,1,12,12,1
5,maja,cause,5,1,2,0,1
5,makeni,cause,5,1,4,3,1
5,natascha,cause,5,1,12,3,1
5,ohini,cause,5,1,12,8,1
5,padana,cause,5,1,12,12,1
5,pini,cause,5,1,12,12,1
5,raja,cause,5,1,4,4,1
5,riet,cause,5,1,12,8,1
5,robert,cause,5,1,12,4,1
5,sandra,cause,5,1,12,12,1
5,shanga,cause,5,1,12,12,1
5,swela,cause,5,1,12,5,1
5,tai,cause,5,1,12,4,1
5,yaro,cause,5,1,12,10,1
5,yasa,cause,5,1,12,0,1
5,youma,cause,5,1,12,5,1
5,zira,cause,5,1,12,11,1
6,abeeku,cause,6,1,12,8,1
6,alex,cause,6,1,12,12,1
6,azibo,cause,6,1,12,9,1
6,bambari,cause,6,1,12,7,1
6,corrie,cause,6,1,12,7,1
6,daza,cause,6,1,12,10,1
6,diara,cause,6,1,12,11,1
6,dorien,cause,6,1,12,8,1
6,fraukje,cause,6,1,12,10,1
6,frederike,cause,6,1,12,11,1
6,frodo,cause,6,1,12,11,1
6,hope,cause,6,1,12,10,1
6,jeudi,cause,6,1,12,11,1
6,kianga,cause,6,1,12,7,1
6,kibara,cause,6,1,12,11,1
6,kio,cause,6,1,12,8,1
6,kisha,cause,6,1,12,6,1
6,kumili,cause,6,1,12,10,1
6,maja,cause,6,1,12,9,1
6,makeni,cause,6,1,12,6,1
6,natascha,cause,6,1,12,5,1
6,ohini,cause,6,1,12,8,1
6,riet,cause,6,1,12,12,1
6,robert,cause,6,1,12,1,1
6,sandra,cause,6,1,12,12,1
6,shanga,cause,6,1,12,10,1
6,swela,cause,6,1,12,5,1
6,tai,cause,6,1,12,6,1
6,youma,cause,6,1,12,7,1
6,zira,cause,6,1,12,10,1
7,abeeku,cause,7,1,9,8,1
7,alex,cause,7,1,12,12,1
7,azibo,cause,7,1,12,12,1
7,bambari,cause,7,1,12,10,1
7,bimbo,cause,7,1,12,12,1
7,corrie,cause,7,1,12,6,1
7,daza,cause,7,1,12,9,1
7,diara,cause,7,1,12,12,1
7,dokana,cause,7,1,12,12,1
7,dorien,cause,7,1,12,9,1
7,fraukje,cause,7,1,12,12,1
7,frederike,cause,7,1,12,11,1
7,frodo,cause,7,1,12,12,1
7,hope,cause,7,1,12,12,1
7,kianga,cause,7,1,12,8,1
7,kibara,cause,7,1,12,12,1
7,kio,cause,7,1,12,9,1
7,kisha,cause,7,1,12,8,1
7,kumili,cause,7,1,12,11,1
7,maja,cause,7,1,12,5,1
7,makeni,cause,7,1,12,6,1
7,natascha,cause,7,1,12,4,1
7,ohini,cause,7,1,12,11,1
7,padana,cause,7,1,12,11,1
7,pini,cause,7,1,12,12,1
7,raja,cause,7,1,12,12,1
7,riet,cause,7,1,12,12,1
7,robert,cause,7,1,12,6,1
7,sandra,cause,7,1,12,12,1
7,shanga,cause,7,1,12,12,1
7,swela,cause,7,1,12,7,1
7,tai,cause,7,1,12,7,1
7,youma,cause,7,1,12,7,1
7,zira,cause,7,1,12,11,1
8,abeeku,cause,8,1,11,6,1
8,alex,cause,8,1,12,12,1
8,azibo,cause,8,1,12,11,1
8,bambari,cause,8,1,12,9,1
8,bimbo,cause,8,1,12,12,1
8,corrie,cause,8,1,12,6,1
8,daza,cause,8,1,12,9,1
8,diara,cause,8,1,12,12,1
8,dokana,cause,8,1,12,12,1
8,dorien,cause,8,1,12,7,1
8,fraukje,cause,8,1,12,12,1
8,frederike,cause,8,1,12,10,1
8,frodo,cause,8,1,12,12,1
8,hope,cause,8,1,12,11,1
8,jasongo,cause,8,1,12,9,1
8,jeudi,cause,8,1,11,10,1
8,kasai,cause,8,1,12,12,1
8,kianga,cause,8,1,12,7,1
8,kibara,cause,8,1,12,10,1
8,kio,cause,8,1,12,7,1
8,kisha,cause,8,1,12,9,1
8,kumili,cause,8,1,12,12,1
8,kuno,cause,8,1,12,12,1
8,lexi,cause,8,1,12,12,1
8,luiza,cause,8,1,12,11,1
8,maja,cause,8,1,12,8,1
8,makeni,cause,8,1,12,6,1
8,natascha,cause,8,1,12,6,1
8,ohini,cause,8,1,12,8,1
8,padana,cause,8,1,12,11,1
8,pini,cause,8,1,12,12,1
8,raja,cause,8,1,12,10,1
8,riet,cause,8,1,12,10,1
8,robert,cause,8,1,12,4,1
8,sandra,cause,8,1,12,12,1
8,shanga,cause,8,1,12,12,1
8,swela,cause,8,1,12,6,1
8,tai,cause,8,1,12,7,1
8,yaro,cause,8,1,12,9,1
8,yasa,cause,8,1,12,1,1
8,youma,cause,8,1,12,6,1
8,zira,cause,8,1,12,12,1
9,abeeku,cause,9,1,10,6,1
9,alex,cause,9,1,12,12,1
9,azibo,cause,9,1,12,12,1
9,bambari,cause,9,1,11,8,1
9,bimbo,cause,9,1,12,12,1
9,corrie,cause,9,1,12,9,1
9,daza,cause,9,1,12,11,1
9,diara,cause,9,1,12,11,1
9,dokana,cause,9,1,12,12,1
9,dorien,cause,9,1,12,11,1
9,fraukje,cause,9,1,12,11,1
9,frederike,cause,9,1,12,10,1
9,frodo,cause,9,1,12,11,1
9,hope,cause,9,1,12,11,1
9,jasongo,cause,9,1,12,8,1
9,joey,cause,9,1,12,7,1
9,kasai,cause,9,1,12,8,1
9,kianga,cause,9,1,12,10,1
9,kibara,cause,9,1,12,9,1
9,kio,cause,9,1,12,7,1
9,kisha,cause,9,1,12,8,1
9,kumili,cause,9,1,12,12,1
9,kuno,cause,9,1,12,11,1
9,lexi,cause,9,1,12,12,1
9,luiza,cause,9,1,12,12,1
9,maja,cause,9,1,6,5,1
9,makeni,cause,9,1,12,6,1
9,natascha,cause,9,1,12,8,1
9,ohini,cause,9,1,12,9,1
9,padana,cause,9,1,12,12,1
9,pini,cause,9,1,12,12,1
9,raja,cause,9,1,12,11,1
9,riet,cause,9,1,12,11,1
9,robert,cause,9,1,12,4,1
9,sandra,cause,9,1,12,12,1
9,shanga,cause,9,1,12,12,1
9,swela,cause,9,1,12,6,1
9,tai,cause,9,1,12,7,1
9,yaro,cause,9,1,12,10,1
9,yasa,cause,9,1,12,2,1
9,youma,cause,9,1,12,5,1
9,zira,cause,9,1,12,11,1
10,abeeku,cause,10,1,12,11,1
10,alex,cause,10,1,12,11,1
10,azibo,cause,10,1,12,12,1
10,bambari,cause,10,1,12,6,1
10,bimbo,cause,10,1,12,12,1
10,corrie,cause,10,1,12,6,1
10,daza,cause,10,1,12,8,1
10,diara,cause,10,1,12,11,1
10,dokana,cause,10,1,12,12,1
10,dorien,cause,10,1,12,8,1
10,fraukje,cause,10,1,12,12,1
10,frederike,cause,10,1,12,12,1
10,frodo,cause,10,1,12,12,1
10,hope,cause,10,1,12,10,1
10,jasongo,cause,10,1,12,11,1
10,jeudi,cause,10,1,12,12,1
10,joey,cause,10,1,12,11,1
10,kasai,cause,10,1,12,8,1
10,kianga,cause,10,1,12,9,1
