time_point,subject,task,time_cat,trait,n,sum,phase
1,abeeku,pop,1,1,6,1,2
1,alex,pop,1,1,1,1,2
1,amira,pop,1,1,7,4,2
1,azibo,pop,1,1,12,8,2
1,bambari,pop,1,1,2,1,2
1,bimbo,pop,1,1,12,10,2
1,corrie,pop,1,1,4,2,2
1,diara,pop,1,1,12,5,2
1,dokana,pop,1,1,12,12,2
1,fraukje,pop,1,1,12,10,2
1,frederike,pop,1,1,12,7,2
1,frodo,pop,1,1,12,12,2
1,hope,pop,1,1,12,11,2
1,jasongo,pop,1,1,12,9,2
1,joey,pop,1,1,1,1,2
1,kasai,pop,1,1,12,9,2
1,kianga,pop,1,1,12,6,2
1,kibara,pop,1,1,12,12,2
1,kio,pop,1,1,12,7,2
1,kisha,pop,1,1,6,2,2
1,kumili,pop,1,1,12,5,2
1,kuno,pop,1,1,12,8,2
1,lexi,pop,1,1,12,8,2
1,luiza,pop,1,1,12,10,2
1,natascha,pop,1,1,12,9,2
1,ohini,pop,1,1,12,7,2
1,padana,pop,1,1,12,12,2
1,pini,pop,1,1,12,10,2
1,raja,pop,1,1,12,9,2
1,riet,pop,1,1,12,10,2
1,robert,pop,1,1,12,9,2
1,sandra,pop,1,1,12,12,2
1,sari,pop,1,1,12,7,2
1,shanga,pop,1,1,5,2,2
1,swela,pop,1,1,12,7,2
1,tai,pop,1,1,12,11,2
1,tayo,pop,1,1,12,5,2
1,yaro,pop,1,1,12,11,2
1,yasa,pop,1,1,12,11,2
1,zira,pop,1,1,12,9,2
2,abeeku,pop,2,1,2,2,2
2,amira,pop,2,1,10,6,2
2,bimbo,pop,2,1,3,2,2
2,corrie,pop,2,1,12,6,2
2,daza,pop,2,1,11,5,2
2,diara,pop,2,1,12,9,2
2,dokana,pop,2,1,12,11,2
2,fraukje,pop,2,1,12,12,2
2,frederike,pop,2,1,12,9,2
2,frodo,pop,2,1,12,12,2
2,hope,pop,2,1,12,12,2
2,jasongo,pop,2,1,12,6,2
2,jeudi,pop,2,1,12,6,2
2,kasai,pop,2,1,12,9,2
2,kianga,pop,2,1,12,9,2
2,kibara,pop,2,1,12,12,2
2,kio,pop,2,1,6,4,2
2,kisha,pop,2,1,12,6,2
2,kumili,pop,2,1,12,6,2
2,kuno,pop,2,1,12,11,2
2,lexi,pop,2,1,12,10,2
2,luiza,pop,2,1,12,10,2
2,maja,pop,2,1,12,10,2
2,makeni,pop,2,1,12,8,2
2,natascha,pop,2,1,12,12,2
2,ohini,pop,2,1,12,7,2
2,padana,pop,2,1,12,12,2
2,pini,pop,2,1,12,11,2
2,raja,pop,2,1,12,7,2
2,riet,pop,2,1,12,11,2
2,robert,pop,2,1,12,11,2
2,sandra,pop,2,1,12,12,2
2,shanga,pop,2,1,12,6,2
2,sumai,pop,2,1,12,4,2
2,swela,pop,2,1,12,6,2
2,tai,pop,2,1,12,11,2
2,tayo,pop,2,1,12,7,2
2,yaro,pop,2,1,12,12,2
2,yasa,pop,2,1,12,11,2
2,youma,pop,2,1,12,7,2
2,zira,pop,2,1,12,11,2
3,abeeku,pop,3,1,1,1,2
3,amira,pop,3,1,12,8,2
3,azibo,pop,3,1,12,7,2
3,bambari,pop,3,1,12,9,2
3,bimbo,pop,3,1,1,0,2
3,corrie,pop,3,1,12,7,2
3,daza,pop,3,1,12,6,2
3,diara,pop,3,1,12,11,2
3,dokana,pop,3,1,12,12,2
3,fraukje,pop,3,1,12,12,2
3,frederike,pop,3,1,12,7,2
3,frodo,pop,3,1,12,12,2
3,hope,pop,3,1,12,11,2
3,jasongo,pop,3,1,12,9,2
3,joey,pop,3,1,6,3,2
