"","date","time_point","session","group","subject","trial","trial.id","choice.nr.within.trial","choice.where","choice.correct","last.choice","previous.correct","any.error.earlier","cup.id","choice.id","error.ny"
"112",20220520,1,3,"a_chimp","frodo",7,19,3,2,0,2,"yes","0",1,38,0
"113",20220520,1,3,"a_chimp","frodo",7,19,3,2,0,1,"yes","0",2,38,1
"115",20220520,1,3,"a_chimp","frodo",8,20,2,2,1,1,"yes","0",1,39,0
"118",20220520,1,3,"a_chimp","frodo",8,20,3,3,1,1,"yes","0",1,40,0
"119",20220520,1,3,"a_chimp","frodo",8,20,3,3,1,2,"yes","0",2,40,0
"122",20220520,1,3,"a_chimp","frodo",9,21,2,1,1,1,"yes","0",2,41,0
"124",20220520,1,3,"a_chimp","frodo",9,21,3,2,0,2,"yes","0",1,42,0
"125",20220520,1,3,"a_chimp","frodo",9,21,3,2,0,1,"yes","0",2,42,1
"128",20220520,1,3,"a_chimp","frodo",10,22,2,3,1,1,"yes","0",2,43,0
"131",20220520,1,3,"a_chimp","frodo",10,22,3,1,1,1,"yes","0",2,44,0
"132",20220520,1,3,"a_chimp","frodo",10,22,3,1,1,2,"yes","0",3,44,0
"135",20220520,1,3,"a_chimp","frodo",11,23,2,1,1,1,"yes","0",3,45,0
"136",20220520,1,3,"a_chimp","frodo",11,23,3,2,1,2,"yes","0",1,46,0
"138",20220520,1,3,"a_chimp","frodo",11,23,3,2,1,1,"yes","0",3,46,0
"140",20220520,1,3,"a_chimp","frodo",12,24,2,3,1,1,"yes","0",2,47,0
"143",20220520,1,3,"a_chimp","frodo",12,24,3,1,1,1,"yes","0",2,48,0
"144",20220520,1,3,"a_chimp","frodo",12,24,3,1,1,2,"yes","0",3,48,0
"147",20220520,1,3,"a_chimp","tai",1,25,2,1,1,1,"yes","0",3,49,0
"148",20220520,1,3,"a_chimp","tai",1,25,3,2,1,2,"yes","0",1,50,0
"150",20220520,1,3,"a_chimp","tai",1,25,3,2,1,1,"yes","0",3,50,0
"153",20220520,1,3,"a_chimp","tai",2,26,2,1,1,1,"yes","0",3,51,0
"154",20220520,1,3,"a_chimp","tai",2,26,3,2,1,2,"yes","0",1,52,0
"156",20220520,1,3,"a_chimp","tai",2,26,3,2,1,1,"yes","0",3,52,0
"157",20220520,1,3,"a_chimp","tai",3,27,2,3,1,1,"yes","0",1,53,0
"160",20220520,1,3,"a_chimp","tai",3,27,3,2,1,1,"yes","0",1,54,0
"162",20220520,1,3,"a_chimp","tai",3,27,3,2,1,2,"yes","0",3,54,0
"164",20220520,1,3,"a_chimp","tai",4,28,2,1,1,1,"yes","0",2,55,0
"166",20220520,1,3,"a_chimp","tai",4,28,3,3,1,2,"yes","0",1,56,0
"167",20220520,1,3,"a_chimp","tai",4,28,3,3,1,1,"yes","0",2,56,0
"171",20220520,1,3,"a_chimp","tai",5,29,2,2,1,1,"yes","0",3,57,0
"173",20220520,1,3,"a_chimp","tai",5,29,3,1,1,2,"yes","0",2,58,0
"174",20220520,1,3,"a_chimp","tai",5,29,3,1,1,1,"yes","0",3,58,0
"176",20220520,1,3,"a_chimp","tai",6,30,2,1,1,1,"yes","0",2,59,0
"178",20220520,1,3,"a_chimp","tai",6,30,3,3,1,2,"yes","0",1,60,0
"179",20220520,1,3,"a_chimp","tai",6,30,3,3,1,1,"yes","0",2,60,0
"182",20220520,1,3,"a_chimp","tai",7,31,2,1,1,1,"yes","0",2,61,0
"184",20220520,1,3,"a_chimp","tai",7,31,3,3,1,2,"yes","0",1,62,0
"185",20220520,1,3,"a_chimp","tai",7,31,3,3,1,1,"yes","0",2,62,0
"188",20220520,1,3,"a_chimp","tai",8,32,2,3,1,1,"yes","0",2,63,0
"191",20220520,1,3,"a_chimp","tai",8,32,3,1,1,1,"yes","0",2,64,0
"192",20220520,1,3,"a_chimp","tai",8,32,3,1,1,2,"yes","0",3,64,0
"194",20220520,1,3,"a_chimp","tai",9,33,2,1,1,1,"yes","0",2,65,0
"196",20220520,1,3,"a_chimp","tai",9,33,3,3,1,2,"yes","0",1,66,0
"197",20220520,1,3,"a_chimp","tai",9,33,3,3,1,1,"yes","0",2,66,0
"199",20220520,1,3,"a_chimp","tai",10,34,2,3,1,1,"yes","0",1,67,0
"202",20220520,1,3,"a_chimp","tai",10,34,3,2,1,1,"yes","0",1,68,0
"204",20220520,1,3,"a_chimp","tai",10,34,3,2,1,2,"yes","0",3,68,0
"206",20220520,1,3,"a_chimp","tai",11,35,2,1,1,1,"yes","0",2,69,0
"208",20220520,1,3,"a_chimp","tai",11,35,3,3,1,2,"yes","0",1,70,0
"209",20220520,1,3,"a_chimp","tai",11,35,3,3,1,1,"yes","0",2,70,0
"212",20220520,1,3,"a_chimp","tai",12,36,2,3,1,1,"yes","0",2,71,0
"215",20220520,1,3,"a_chimp","tai",12,36,3,1,1,1,"yes","0",2,72,0
"216",20220520,1,3,"a_chimp","tai",12,36,3,1,1,2,"yes","0",3,72,0
"219",20220520,1,3,"a_chimp","sandra",1,37,2,2,1,1,"yes","0",3,73,0
"221",20220520,1,3,"a_chimp","sandra",1,37,3,1,1,2,"yes","0",2,74,0
"222",20220520,1,3,"a_chimp","sandra",1,37,3,1,1,1,"yes","0",3,74,0
"223",20220520,1,3,"a_chimp","sandra",2,38,2,2,1,1,"yes","0",1,75,0
"226",20220520,1,3,"a_chimp","sandra",2,38,3,3,1,1,"yes","0",1,76,0
"227",20220520,1,3,"a_chimp","sandra",2,38,3,3,1,2,"yes","0",2,76,0
"231",20220520,1,3,"a_chimp","sandra",3,39,2,2,1,1,"yes","0",3,77,0
"233",20220520,1,3,"a_chimp","sandra",3,39,3,1,1,2,"yes","0",2,78,0
"234",20220520,1,3,"a_chimp","sandra",3,39,3,1,1,1,"yes","0",3,78,0
"236",20220520,1,3,"a_chimp","sandra",4,40,2,1,1,1,"yes","0",2,79,0
"238",20220520,1,3,"a_chimp","sandra",4,40,3,3,1,2,"yes","0",1,80,0
"239",20220520,1,3,"a_chimp","sandra",4,40,3,3,1,1,"yes","0",2,80,0
"241",20220520,1,3,"a_chimp","sandra",5,41,2,2,1,1,"yes","0",1,81,0
"244",20220520,1,3,"a_chimp","sandra",5,41,3,3,1,1,"yes","0",1,82,0
"245",20220520,1,3,"a_chimp","sandra",5,41,3,3,1,2,"yes","0",2,82,0
"249",20220520,1,3,"a_chimp","sandra",6,42,2,2,1,1,"yes","0",3,83,0
"251",20220520,1,3,"a_chimp","sandra",6,42,3,1,1,2,"yes","0",2,84,0
"252",20220520,1,3,"a_chimp","sandra",6,42,3,1,1,1,"yes","0",3,84,0
"255",20220520,1,3,"a_chimp","sandra",7,43,2,2,1,1,"yes","0",3,85,0
"257",20220520,1,3,"a_chimp","sandra",7,43,3,1,1,2,"yes","0",2,86,0
"258",20220520,1,3,"a_chimp","sandra",7,43,3,1,1,1,"yes","0",3,86,0
"261",20220520,1,3,"a_chimp","sandra",8,44,2,2,1,1,"yes","0",3,87,0
"263",20220520,1,3,"a_chimp","sandra",8,44,3,1,1,2,"yes","0",2,88,0
"264",20220520,1,3,"a_chimp","sandra",8,44,3,1,1,1,"yes","0",3,88,0
"266",20220520,1,3,"a_chimp","sandra",9,45,2,1,1,1,"yes","0",2,89,0
"268",20220520,1,3,"a_chimp","sandra",9,45,3,3,1,2,"yes","0",1,90,0
"269",20220520,1,3,"a_chimp","sandra",9,45,3,3,1,1,"yes","0",2,90,0
"273",20220520,1,3,"a_chimp","sandra",10,46,2,2,1,1,"yes","0",3,91,0
"275",20220520,1,3,"a_chimp","sandra",10,46,3,1,1,2,"yes","0",2,92,0
"276",20220520,1,3,"a_chimp","sandra",10,46,3,1,1,1,"yes","0",3,92,0
"277",20220520,1,3,"a_chimp","sandra",11,47,2,3,1,1,"yes","0",1,93,0
"280",20220520,1,3,"a_chimp","sandra",11,47,3,2,1,1,"yes","0",1,94,0
"282",20220520,1,3,"a_chimp","sandra",11,47,3,2,1,2,"yes","0",3,94,0
"285",20220520,1,3,"a_chimp","sandra",12,48,2,2,1,1,"yes","0",3,95,0
"287",20220520,1,3,"a_chimp","sandra",12,48,3,1,1,2,"yes","0",2,96,0
