time_point,subject,task,time_cat,trait,n,sum,phase
4,zira,delay,4,1,12,10,1
5,abeeku,delay,5,1,9,8,1
5,alex,delay,5,1,12,6,1
5,azibo,delay,5,1,12,1,1
5,bimbo,delay,5,1,12,10,1
5,corrie,delay,5,1,12,1,1
5,daza,delay,5,1,12,1,1
5,diara,delay,5,1,12,8,1
5,dokana,delay,5,1,12,12,1
5,dorien,delay,5,1,12,8,1
5,fraukje,delay,5,1,12,5,1
5,frederike,delay,5,1,12,2,1
5,frodo,delay,5,1,12,12,1
5,hope,delay,5,1,12,6,1
5,jasongo,delay,5,1,12,1,1
5,jeudi,delay,5,1,12,2,1
5,joey,delay,5,1,12,8,1
5,kasai,delay,5,1,12,4,1
5,kianga,delay,5,1,12,0,1
5,kibara,delay,5,1,12,1,1
5,kio,delay,5,1,12,0,1
5,kisha,delay,5,1,12,3,1
5,kumili,delay,5,1,12,0,1
5,kuno,delay,5,1,12,10,1
5,lexi,delay,5,1,12,0,1
5,luiza,delay,5,1,12,2,1
5,maja,delay,5,1,12,2,1
5,makeni,delay,5,1,12,0,1
5,ohini,delay,5,1,12,0,1
5,padana,delay,5,1,12,4,1
5,pini,delay,5,1,12,10,1
5,raja,delay,5,1,12,1,1
5,riet,delay,5,1,12,1,1
5,robert,delay,5,1,12,12,1
5,sandra,delay,5,1,12,12,1
5,shanga,delay,5,1,12,12,1
5,swela,delay,5,1,12,2,1
5,tai,delay,5,1,12,12,1
5,yaro,delay,5,1,12,2,1
5,yasa,delay,5,1,12,7,1
5,youma,delay,5,1,12,8,1
5,zira,delay,5,1,12,9,1
6,abeeku,delay,6,1,3,2,1
6,alex,delay,6,1,12,5,1
6,azibo,delay,6,1,12,4,1
6,bambari,delay,6,1,12,0,1
6,corrie,delay,6,1,12,4,1
6,daza,delay,6,1,12,5,1
6,diara,delay,6,1,12,11,1
6,dorien,delay,6,1,12,11,1
6,fraukje,delay,6,1,12,2,1
6,frederike,delay,6,1,12,2,1
6,frodo,delay,6,1,12,12,1
6,hope,delay,6,1,12,0,1
6,kianga,delay,6,1,11,0,1
6,kibara,delay,6,1,12,5,1
6,kio,delay,6,1,12,0,1
6,kisha,delay,6,1,12,1,1
6,kumili,delay,6,1,12,0,1
6,maja,delay,6,1,12,3,1
6,makeni,delay,6,1,12,2,1
6,natascha,delay,6,1,12,9,1
6,ohini,delay,6,1,12,0,1
6,riet,delay,6,1,12,1,1
6,robert,delay,6,1,12,12,1
6,sandra,delay,6,1,12,11,1
6,shanga,delay,6,1,12,11,1
6,swela,delay,6,1,12,0,1
6,tai,delay,6,1,12,12,1
6,youma,delay,6,1,12,2,1
6,zira,delay,6,1,12,7,1
7,abeeku,delay,7,1,9,5,1
7,alex,delay,7,1,12,8,1
7,azibo,delay,7,1,12,0,1
7,bambari,delay,7,1,12,0,1
7,bimbo,delay,7,1,12,12,1
7,daza,delay,7,1,12,8,1
7,diara,delay,7,1,12,10,1
7,dokana,delay,7,1,12,12,1
7,dorien,delay,7,1,12,10,1
7,frederike,delay,7,1,12,0,1
7,frodo,delay,7,1,12,12,1
7,hope,delay,7,1,12,1,1
7,jeudi,delay,7,1,12,1,1
7,kianga,delay,7,1,12,0,1
7,kibara,delay,7,1,12,4,1
7,kio,delay,7,1,12,0,1
7,kisha,delay,7,1,12,0,1
7,kumili,delay,7,1,12,0,1
7,maja,delay,7,1,12,0,1
7,makeni,delay,7,1,12,0,1
