time_point subject task trial code
1 riet delay 11 1
1 riet delay 12 1
1 riet gaze 7 1
1 riet gaze 8 1
1 frodo gaze 1 0
1 frodo gaze 2 0
1 frodo inference 1 0
1 frodo cause 1 1
1 frodo inference 2 0
1 frodo cause 2 1
1 frodo inference 3 1
1 frodo cause 3 1
1 frodo cause 4 1
1 frodo inference 4 1
1 frodo inference 5 1
1 frodo cause 5 1
1 frodo cause 6 1
1 frodo inference 6 1
1 frodo cause 7 1
1 frodo cause 8 1
1 frodo inference 7 0
1 frodo inference 8 0
1 frodo cause 9 1
1 frodo inference 9 0
1 frodo cause 10 1
1 frodo cause 11 1
1 frodo inference 10 1
1 frodo inference 11 1
1 frodo cause 12 1
1 frodo inference 12 1
1 frodo gaze 3 0
1 frodo gaze 4 0
1 frodo gaze 5 0
1 frodo gaze 6 0
1 frodo quant 1 1
1 frodo quant 2 0
1 frodo quant 3 1
1 frodo quant 4 1
1 frodo quant 5 1
1 frodo quant 6 1
1 frodo quant 7 1
1 frodo quant 8 1
1 frodo quant 9 1
1 frodo quant 10 1
1 frodo quant 11 1
1 frodo quant 12 1
1 frodo delay 1 1
1 frodo delay 2 1
1 frodo delay 3 1
1 frodo delay 4 0
1 frodo delay 5 1
1 frodo delay 6 1
1 frodo delay 7 1
1 frodo delay 8 1
1 frodo delay 9 1
1 frodo delay 10 1
1 frodo delay 11 1
1 frodo delay 12 1
1 frodo gaze 7 0
1 frodo gaze 8 0
1 swela gaze 5 0
1 swela gaze 6 0
1 swela quant 1 0
1 swela quant 2 1
1 swela quant 3 1
1 swela quant 4 1
1 swela quant 5 1
1 swela quant 6 0
1 swela quant 7 1
1 swela quant 8 1
1 swela quant 9 1
1 swela quant 10 1
1 swela quant 11 0
1 swela quant 12 0
1 swela delay 1 1
1 swela delay 2 1
1 swela delay 3 1
1 swela delay 4 1
1 swela delay 5 0
1 swela delay 6 1
1 swela delay 7 0
1 swela delay 8 0
1 swela delay 9 0
1 swela delay 10 0
1 swela delay 11 0
1 swela delay 12 0
1 swela gaze 7 1
1 swela gaze 8 0
1 swela gaze 1 0
1 swela gaze 2 1
1 swela inference 1 0
1 swela cause 1 1
1 swela inference 2 0
1 swela cause 2 1
1 swela inference 3 1
1 swela cause 3 1
1 swela cause 4 1
1 swela inference 4 0
1 swela inference 5 1
1 swela cause 5 0
1 swela cause 6 0
1 swela inference 6 0
1 swela cause 7 1
1 swela cause 8 1
1 swela inference 7 1
1 swela inference 8 0
1 swela cause 9 1
1 swela inference 9 0
1 swela cause 10 0
1 swela cause 11 1
1 swela inference 10 1
1 swela inference 11 1
1 swela cause 12 0
1 swela inference 12 1
1 swela gaze 3 1
1 swela gaze 4 1
1 shanga gaze 1 0
1 shanga gaze 2 0
1 shanga inference 1 1
1 shanga cause 1 1
1 shanga inference 2 0
1 shanga cause 2 1
1 shanga inference 3 0
1 shanga cause 3 0
1 shanga cause 4 1
1 shanga inference 4 0
1 shanga inference 5 1
1 shanga cause 5 1
1 shanga cause 6 1
1 shanga inference 6 0
1 shanga cause 7 1
1 shanga cause 8 0
1 shanga inference 7 0
1 shanga inference 8 1
1 shanga cause 9 1
1 shanga inference 9 1
1 shanga cause 10 1
1 shanga cause 11 0
1 shanga inference 10 1
1 shanga inference 11 0
1 shanga cause 12 1
1 shanga inference 12 0
1 shanga gaze 3 0
1 shanga gaze 4 0
1 shanga gaze 5 1
1 shanga gaze 6 0
1 shanga quant 1 0
1 shanga quant 2 1
1 shanga quant 3 1
1 shanga quant 4 1
1 shanga quant 5 0
1 shanga quant 6 1
1 shanga quant 7 1
1 shanga quant 8 1
1 shanga quant 9 1
1 shanga quant 10 0
1 shanga quant 11 1
1 shanga quant 12 1
1 shanga delay 1 1
1 shanga delay 2 1
1 shanga delay 3 1
1 shanga delay 4 0
1 shanga delay 5 0
1 shanga delay 6 1
1 shanga delay 7 0
1 shanga delay 8 1
1 shanga delay 9 1
1 shanga delay 10 0
1 shanga delay 11 0
1 shanga delay 12 0
1 shanga gaze 7 0
1 shanga gaze 8 0
1 natascha gaze 5 0
1 natascha gaze 6 0
1 natascha gaze 1 1
1 natascha gaze 2 0
1 natascha inference 1 1
1 natascha cause 1 0
1 natascha inference 2 0
1 natascha cause 2 0
1 natascha inference 3 0
1 natascha cause 3 0
1 natascha cause 4 0
1 natascha inference 4 1
1 natascha inference 5 1
1 natascha cause 5 1
1 natascha cause 6 0
1 natascha inference 6 0
1 natascha cause 7 1
1 natascha cause 8 1
1 natascha inference 7 0
1 natascha inference 8 0
1 natascha cause 9 0
1 natascha inference 9 0
1 natascha cause 10 1
1 natascha cause 11 1
1 natascha inference 10 0
1 natascha inference 11 1
1 natascha cause 12 1
1 natascha inference 12 1
1 natascha gaze 3 0
1 natascha gaze 4 0
1 youma gaze 1 0
1 youma gaze 2 0
1 youma inference 1 1
1 youma cause 1 0
1 youma inference 2 0
1 youma cause 2 0
1 youma inference 3 0
1 youma cause 3 1
1 youma cause 4 1
1 youma inference 4 0
1 youma inference 5 0
1 youma cause 5 1
1 youma cause 6 1
1 youma inference 6 1
1 youma cause 7 0
1 youma cause 8 1
1 youma inference 7 0
1 youma inference 8 1
1 youma cause 9 0
1 youma inference 9 1
1 youma cause 10 1
1 youma cause 11 0
1 youma inference 10 1
1 youma inference 11 1
1 youma cause 12 1
1 youma inference 12 0
1 youma gaze 3 0
1 youma gaze 4 1
1 youma gaze 5 0
1 youma gaze 6 0
1 youma quant 1 0
1 youma quant 2 0
1 youma quant 3 1
1 youma quant 4 0
1 youma quant 5 1
1 youma quant 6 0
1 youma quant 7 0
1 youma quant 8 1
1 youma quant 9 1
1 youma quant 10 0
1 youma quant 11 1
1 youma quant 12 1
1 youma delay 1 1
1 youma delay 2 1
1 youma delay 3 1
1 youma delay 4 0
1 youma delay 5 0
1 youma delay 6 0
1 youma delay 7 0
1 youma delay 8 0
1 youma delay 9 0
1 youma delay 10 0
1 youma delay 11 0
1 youma delay 12 0
1 youma gaze 7 0
1 youma gaze 8 0
1 azibo gaze 1 0
1 azibo gaze 2 1
1 azibo inference 1 0
1 azibo cause 1 1
1 azibo inference 2 1
1 azibo cause 2 1
1 azibo inference 3 1
1 azibo cause 3 1
1 azibo cause 4 0
1 azibo inference 4 0
1 azibo inference 5 0
1 azibo cause 5 1
1 azibo cause 6 1
1 azibo inference 6 1
1 azibo cause 7 1
1 azibo cause 8 1
1 azibo inference 7 0
1 azibo inference 8 0
1 azibo cause 9 1
1 azibo inference 9 1
1 azibo cause 10 1
1 azibo cause 11 1
1 azibo inference 10 1
1 azibo inference 11 0
1 azibo cause 12 0
1 azibo inference 12 0
1 azibo gaze 3 0
1 azibo gaze 4 0
1 azibo gaze 5 0
1 azibo gaze 6 0
1 azibo quant 1 1
1 fraukje gaze 5 0
1 fraukje gaze 6 0
1 fraukje quant 1 1
1 fraukje quant 2 0
1 fraukje quant 3 1
1 fraukje quant 4 1
1 fraukje quant 5 0
1 fraukje quant 6 0
1 fraukje quant 7 0
1 fraukje quant 8 0
1 fraukje quant 9 1
1 fraukje quant 10 0
1 fraukje quant 11 0
1 fraukje quant 12 1
1 fraukje delay 1 1
1 fraukje delay 2 1
1 fraukje delay 3 1
1 fraukje delay 4 1
1 fraukje delay 5 1
1 fraukje delay 6 1
1 fraukje delay 7 1
1 fraukje delay 8 1
1 fraukje delay 9 0
1 fraukje delay 10 0
1 fraukje delay 11 0
1 fraukje delay 12 1
1 fraukje gaze 7 0
1 fraukje gaze 8 0
1 fraukje gaze 1 1
1 fraukje gaze 2 0
1 fraukje inference 1 1
1 fraukje cause 1 1
1 fraukje inference 2 1
1 fraukje cause 2 1
1 fraukje inference 3 0
1 fraukje cause 3 1
1 fraukje cause 4 1
1 fraukje inference 4 1
1 fraukje inference 5 0
1 fraukje cause 5 1
1 fraukje cause 6 1
1 fraukje inference 6 1
1 fraukje cause 7 1
1 fraukje cause 8 1
1 fraukje inference 7 1
1 fraukje inference 8 1
1 fraukje cause 9 1
1 fraukje inference 9 1
1 fraukje cause 10 1
1 fraukje cause 11 1
1 fraukje inference 10 1
1 fraukje inference 11 1
1 fraukje cause 12 1
1 fraukje inference 12 1
1 maja gaze 1 0
1 maja gaze 2 0
1 maja inference 1 1
1 kisha gaze 1 0
1 kisha gaze 2 1
1 kisha inference 1 1
1 kisha cause 1 1
1 kisha inference 2 0
1 kisha cause 2 1
1 kisha inference 3 0
1 kisha cause 3 1
1 kisha cause 4 1
1 kisha inference 4 0
1 kisha inference 5 1
1 kisha cause 5 0
1 kisha cause 6 0
1 kisha inference 6 1
1 kisha cause 7 1
1 kisha cause 8 0
1 kisha inference 7 0
1 kisha inference 8 1
1 kisha cause 9 0
1 kisha inference 9 1
1 kisha cause 10 1
1 kisha cause 11 0
1 kisha inference 10 1
1 kisha inference 11 0
1 kisha cause 12 1
1 kisha inference 12 0
1 kisha gaze 3 0
1 kisha gaze 4 0
1 ohini gaze 1 0
1 ohini gaze 2 0
1 ohini inference 1 0
1 ohini cause 1 0
1 ohini inference 2 1
1 ohini cause 2 0
1 ohini inference 3 1
1 ohini cause 3 1
1 ohini cause 4 0
1 ohini inference 4 1
1 ohini inference 5 0
1 ohini cause 5 1
1 ohini cause 6 1
1 ohini inference 6 0
1 ohini cause 7 0
1 ohini cause 8 1
1 ohini inference 7 1
1 ohini inference 8 0
1 ohini cause 9 1
1 ohini inference 9 0
1 ohini cause 10 0
1 ohini cause 11 1
1 ohini inference 10 0
1 ohini inference 11 1
1 ohini cause 12 0
1 ohini inference 12 1
1 ohini gaze 3 0
1 ohini gaze 4 0
1 bambari gaze 1 0
1 bambari gaze 2 0
1 bambari inference 1 1
1 bambari cause 1 0
1 bambari inference 2 0
1 bambari cause 2 1
1 bambari inference 3 0
1 bambari cause 3 0
1 bambari cause 4 1
1 bambari inference 4 0
1 bambari inference 5 1
1 bambari cause 5 1
1 bambari cause 6 1
1 bambari inference 6 0
1 bambari cause 7 1
1 bambari cause 8 0
1 bambari inference 7 0
1 bambari inference 8 0
1 bambari cause 9 0
1 bambari inference 9 1
1 bambari cause 10 1
1 bambari cause 11 0
1 bambari inference 10 0
1 bambari inference 11 0
1 bambari cause 12 1
1 bambari inference 12 0
1 bambari gaze 3 1
1 bambari gaze 4 0
1 makeni gaze 1 0
1 makeni gaze 2 0
1 makeni inference 1 1
1 makeni cause 1 1
1 makeni inference 2 0
1 makeni cause 2 1
1 makeni inference 3 0
1 makeni cause 3 0
1 makeni cause 4 1
1 makeni inference 4 0
1 makeni inference 5 1
1 makeni cause 5 0
1 makeni cause 6 0
1 makeni inference 6 1
1 makeni cause 7 1
1 makeni cause 8 0
1 makeni inference 7 0
1 makeni inference 8 1
1 makeni cause 9 0
1 makeni inference 9 1
1 makeni cause 10 1
1 makeni cause 11 0
1 makeni inference 10 1
1 makeni inference 11 0
1 makeni cause 12 1
1 makeni inference 12 0
1 makeni gaze 3 0
1 makeni gaze 4 0
1 corrie gaze 1 0
1 corrie gaze 2 0
1 corrie inference 1 0
1 corrie cause 1 0
1 corrie inference 2 1
1 corrie cause 2 0
1 corrie inference 3 1
1 corrie cause 3 1
1 corrie cause 4 0
1 corrie inference 4 1
1 corrie inference 5 0
1 corrie cause 5 1
1 corrie cause 6 1
1 corrie inference 6 0
1 corrie cause 7 0
1 corrie cause 8 1
1 corrie inference 7 1
1 corrie inference 8 0
1 corrie cause 9 1
1 corrie inference 9 0
1 corrie cause 10 0
1 corrie cause 11 1
1 corrie inference 10 0
1 corrie inference 11 1
1 corrie cause 12 0
1 corrie inference 12 1
1 corrie gaze 3 0
1 corrie gaze 4 0
2 tai gaze 1 0
2 tai gaze 2 0
2 tai inference 1 0
2 tai cause 1 0
2 tai inference 2 0
2 tai cause 2 0
2 tai inference 3 1
2 tai cause 3 0
2 tai cause 4 1
2 tai inference 4 1
2 tai inference 5 1
2 tai cause 5 0
2 tai cause 6 0
2 tai inference 6 1
2 tai cause 7 0
2 tai cause 8 1
2 tai inference 7 1
2 tai inference 8 0
2 tai cause 9 1
2 tai inference 9 1
2 tai cause 10 0
2 tai cause 11 0
2 tai inference 10 0
2 tai inference 11 0
2 tai cause 12 0
2 tai inference 12 1
2 tai gaze 3 0
2 tai gaze 4 0
2 tai gaze 5 1
2 tai gaze 6 0
2 tai quant 1 1
2 tai quant 2 1
2 tai quant 3 1
2 tai quant 4 1
2 tai quant 5 1
2 tai quant 6 1
2 tai quant 7 1
2 tai quant 8 1
2 tai quant 9 1
2 tai quant 10 1
2 tai quant 11 1
2 tai quant 12 1
2 tai delay 1 1
2 tai delay 2 1
2 tai delay 3 1
2 tai delay 4 0
2 tai delay 5 0
2 tai delay 6 1
2 tai delay 7 0
2 tai delay 8 1
2 tai delay 9 1
2 tai delay 10 0
2 tai delay 11 0
2 tai delay 12 1
2 tai gaze 7 0
2 tai gaze 8 1
2 frodo gaze 5 0
2 frodo gaze 6 0
2 frodo quant 1 1
2 frodo quant 2 0
2 frodo quant 3 1
2 frodo quant 4 1
2 frodo quant 5 0
2 frodo quant 6 1
2 frodo quant 7 1
2 frodo quant 8 1
2 frodo quant 9 0
2 frodo quant 10 1
2 frodo quant 11 1
2 frodo quant 12 1
2 frodo delay 1 1
2 frodo delay 2 1
2 frodo delay 3 1
2 frodo delay 4 1
2 frodo delay 5 1
2 frodo delay 6 1
2 frodo delay 7 1
2 frodo delay 8 1
2 frodo delay 9 1
2 frodo delay 10 1
2 frodo delay 11 1
2 frodo delay 12 1
2 frodo gaze 7 0
2 frodo gaze 8 0
2 frodo gaze 1 0
2 frodo gaze 2 0
2 shanga gaze 1 0
2 shanga gaze 2 0
2 shanga inference 1 1
2 shanga cause 1 1
2 shanga inference 2 0
2 shanga cause 2 1
2 shanga inference 3 0
2 shanga cause 3 0
2 shanga cause 4 1
2 shanga inference 4 0
2 shanga inference 5 1
2 shanga cause 5 0
2 shanga cause 6 0
2 shanga inference 6 1
2 shanga cause 7 1
2 shanga cause 8 0
2 shanga inference 7 0
2 shanga inference 8 1
2 shanga cause 9 0
2 shanga inference 9 1
2 shanga cause 10 1
2 shanga cause 11 0
2 shanga inference 10 1
2 shanga inference 11 0
2 shanga cause 12 1
2 shanga inference 12 0
2 shanga gaze 3 0
2 shanga gaze 4 0
2 shanga gaze 5 0
2 shanga gaze 6 0
2 shanga quant 1 0
2 shanga quant 2 1
2 shanga quant 3 1
2 shanga quant 4 0
2 shanga quant 5 0
2 shanga quant 6 1
2 shanga quant 7 1
2 shanga quant 8 1
2 shanga quant 9 1
2 shanga quant 10 0
2 shanga quant 11 0
2 shanga quant 12 1
2 shanga delay 1 0
2 shanga delay 2 0
2 shanga delay 3 0
2 shanga delay 4 0
2 shanga delay 5 0
2 shanga delay 6 0
2 shanga delay 7 0
2 shanga delay 8 0
2 shanga delay 9 1
2 shanga delay 10 0
2 shanga delay 11 0
2 shanga delay 12 0
2 shanga gaze 7 0
2 shanga gaze 8 0
2 sandra gaze 5 1
2 sandra gaze 6 1
2 sandra quant 1 1
2 sandra quant 2 1
2 sandra quant 3 1
2 sandra quant 4 1
2 sandra quant 5 1
2 sandra quant 6 1
2 sandra quant 7 1
2 sandra quant 8 1
2 sandra quant 9 1
2 sandra quant 10 1
2 sandra quant 11 1
2 sandra quant 12 1
2 sandra delay 1 1
2 sandra delay 2 1
2 sandra delay 3 1
2 sandra delay 4 0
2 sandra delay 5 1
2 sandra delay 6 1
2 sandra delay 7 1
2 sandra delay 8 1
2 sandra delay 9 1
2 sandra delay 10 0
2 sandra delay 11 0
2 sandra delay 12 1
2 sandra gaze 7 0
2 sandra gaze 8 1
2 sandra gaze 1 1
2 sandra gaze 2 1
2 sandra inference 1 1
2 sandra cause 1 1
2 sandra inference 2 1
2 sandra cause 2 1
2 sandra inference 3 1
2 sandra cause 3 1
2 sandra cause 4 1
2 sandra inference 4 1
2 sandra inference 5 1
2 sandra cause 5 1
2 sandra cause 6 1
2 sandra inference 6 1
2 sandra cause 7 1
2 sandra cause 8 1
2 sandra inference 7 1
2 sandra inference 8 1
2 sandra cause 9 1
2 sandra inference 9 1
2 sandra cause 10 1
2 sandra cause 11 1
2 sandra inference 10 1
2 sandra inference 11 1
2 sandra cause 12 1
2 sandra inference 12 1
2 sandra gaze 3 0
2 sandra gaze 4 0
2 dorien gaze 1 0
2 dorien gaze 2 0
2 dorien inference 1 1
2 dorien cause 1 0
2 dorien inference 2 0
2 dorien cause 2 1
