time_point,group,subject,task,rank,performance,trials,sex,rearing,age,time_in_leipzig,le_present,le_mean,le_max,dist_present,dist_mean,dist_max,time_outdoors
1,a_chimp,azibo,communication,12,0.75,12,m,mother,7.093771389459275,7.093771389459275,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,azibo,inhibit_searched,12,0.7,10,m,mother,7.093771389459275,7.093771389459275,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,azibo,population,12,0.6666666666666666,12,m,mother,7.093771389459275,7.093771389459275,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,azibo,reasoning,12,0.5833333333333334,12,m,mother,7.093771389459275,7.093771389459275,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,azibo,visible_food,12,0.41666666666666663,12,m,mother,7.093771389459275,7.093771389459275,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,bambari,communication,5,1,1,f,mother,21.44832306639288,6.294318959616701,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,bambari,population,5,0.5,2,f,mother,21.44832306639288,6.294318959616701,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,bambari,reasoning,5,0.6666666666666666,3,f,mother,21.44832306639288,6.294318959616701,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,corrie,population,7,0.5,4,f,hand,45.437371663244356,21.22381930184805,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,corrie,reasoning,7,0.41666666666666663,12,f,hand,45.437371663244356,21.22381930184805,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,fraukje,attention,9,0.8333333333333334,12,f,hand,46.11362080766598,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,fraukje,communication,9,0.8333333333333333,12,f,hand,46.11362080766598,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,fraukje,inhibit_searched,9,0.33333333333333337,12,f,hand,46.11362080766598,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,fraukje,population,9,0.8333333333333333,12,f,hand,46.11362080766598,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,fraukje,reasoning,9,0.5,12,f,hand,46.11362080766598,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,fraukje,visible_food,9,0,4,f,hand,46.11362080766598,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,frodo,attention,1,0.6666666666666666,12,m,mother,28.468172484599588,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,frodo,communication,1,0.9166666666666666,12,m,mother,28.468172484599588,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,frodo,inhibit_searched,1,0.16666666666666669,12,m,mother,28.468172484599588,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,frodo,population,1,1,12,m,mother,28.468172484599588,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,frodo,reasoning,1,0.5833333333333334,12,m,mother,28.468172484599588,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,frodo,visible_food,1,0.5,12,m,mother,28.468172484599588,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,kisha,attention,8,0,2,f,mother,18.21218343600274,8.668035592060233,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,kisha,communication,8,0.33333333333333337,6,f,mother,18.21218343600274,8.668035592060233,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,kisha,inhibit_searched,8,1,4,f,mother,18.21218343600274,8.668035592060233,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,kisha,population,8,0.33333333333333337,6,f,mother,18.21218343600274,8.668035592060233,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,kisha,reasoning,8,0.5,12,f,mother,18.21218343600274,8.668035592060233,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,kisha,visible_food,8,0.4,5,f,mother,18.21218343600274,8.668035592060233,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,maja,attention,10,0.6,5,f,mother,36.05749486652977,6.297056810403833,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,maja,communication,10,0.25,12,f,mother,36.05749486652977,6.297056810403833,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,maja,inhibit_searched,10,0,1,f,mother,36.05749486652977,6.297056810403833,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,maja,visible_food,10,0.5,12,f,mother,36.05749486652977,6.297056810403833,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,natascha,communication,6,0.75,12,f,hand,42.14647501711157,21.22381930184805,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,natascha,population,6,0.75,12,f,hand,42.14647501711157,21.22381930184805,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,natascha,reasoning,6,0.33333333333333337,12,f,hand,42.14647501711157,21.22381930184805,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,natascha,visible_food,6,0.9166666666666666,12,f,hand,42.14647501711157,21.22381930184805,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,ohini,attention,13,0.75,12,m,mother,6.154688569472964,6.154688569472964,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,ohini,communication,13,0.5833333333333334,12,m,mother,6.154688569472964,6.154688569472964,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,ohini,inhibit_searched,13,0.41666666666666663,12,m,mother,6.154688569472964,6.154688569472964,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,ohini,population,13,0.5833333333333334,12,m,mother,6.154688569472964,6.154688569472964,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,ohini,reasoning,13,0.5,12,m,mother,6.154688569472964,6.154688569472964,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,ohini,visible_food,13,0.25,12,m,mother,6.154688569472964,6.154688569472964,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,riet,attention,3,0.5,10,f,hand,44.51471594798083,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,riet,communication,3,1,1,f,hand,44.51471594798083,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,riet,inhibit_searched,3,0.5,12,f,hand,44.51471594798083,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
1,a_chimp,riet,population,3,0.8333333333333334,12,f,hand,44.51471594798083,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
