1 -0.717 -1.409 2.419 -2.105 -1.772 0.739 1.065 -0.965 -0.345 -0.169 -1.383 -1.432
2 1.756 -0.903 -0.376 3.955 3.467 0.366 -0.042 1.957 -2.181 -0.452 0.305 -1.234
3 -99 -99 -99 -99 -99 -99 -2.176 0.238 -1.785 0.662 2.413 0.426
4 0.348 -0.397 -3.585 -2.557 -2.986 -0.05 0.509 -1.093 -0.537 -0.637 -0.284 -0.309
5 -1.279 -0.09 -2.08 -1.22 -0.894 0.445 -1.208 1.043 -1.265 -0.244 0.996 1.133
6 1.028 -0.745 1.045 0.903 0.495 -1.53 -1.161 -0.519 1.34 0.156 0.804 0.29
7 -1.685 -0.412 -2.759 -0.42 -0.571 -0.051 -0.811 0.002 -0.828 0.182 1.756 1.116
8 0.021 -1.615 -1.873 -0.974 1.785 -0.827 0.98 -2.466 -0.697 -0.475 1.109 -0.915
9 -0.351 -1.431 -0.112 0.251 2.73 -0.837 1.851 -1.041 1.236 -0.151 -2.487 -0.193
10 2.188 -2.675 4.977 3.004 2.172 1.135 -0.636 0.534 1.365 -0.207 -0.008 0.318
11 -0.726 -1.05 0.206 -0.124 -0.145 1.091 -99 -99 -99 -99 -99 -99
12 1.844 -0.436 -0.171 2.435 2.94 -0.313 -1.08 1.261 1.251 0.029 -0.029 -0.408
13 1.296 -2.066 -2.921 -1.886 1.302 -0.478 -0.07 1.492 -0.189 0.442 -0.364 -0.114
14 1.384 -2.435 3.602 1.022 1.407 0.758 0.177 1.563 1.717 0.552 0.014 0.317
15 0.425 0.7 -1.473 -2.179 1.819 0.706 -1.153 1.601 1.753 -0.287 -1.133 -0.233
16 0.193 2.571 -1.618 -1.363 -0.87 0.05 0.44 0.183 -1.152 -0.579 0.6 -1.366
17 -0.01 -1.466 -1.916 -0.944 -0.486 -1.465 -1.815 -0.544 0.033 0.262 2.12 0.709
18 -0.531 -1.45 0.833 -1.421 -2.603 -0.719 -99 -99 -99 -99 -99 -99
19 -1.052 -0.673 -1.681 -1.352 -1.455 0.02 0.674 0.307 0.021 -0.587 0.26 1.005
20 -1.349 -0.633 -2.541 -1.441 -1.449 -1.311 0.257 -1.025 -1.28 0.099 1.73 -0.408
21 -0.196 -1.126 -1.431 1.508 2.149 1.017 0.888 -2.535 3.046 -0.14 -0.927 0.867
22 -1.66 -0.751 -2.45 -0.041 -0.963 -1.489 0.8 0.059 -2.526 -0.515 -0.174 0.84
23 -1.387 0.649 -2.492 -0.439 -0.08 -0.572 -1.045 -2.422 -2.042 0.007 0.681 -0.072
24 0.558 -0.615 -3.635 2.855 5.927 0.534 0.767 0.42 -2.008 0.16 -1.279 0.968
25 1.646 -0.943 3.568 5.914 5.546 0.577 0.272 -0.745 1.326 0.521 0.661 0.753
26 2.169 -0.127 -2.655 -3.441 0.438 0.285 -0.089 0.199 0.97 -0.053 1.105 -0.005
27 1.178 -0.59 -2.824 0.754 2.514 0.015 0.623 0.588 2.2 -0.076 -0.153 0.71
28 -1.168 2.532 -3.007 -0.822 -0.904 -1.144 0.218 -0.741 -0.693 0.089 -0.19 2.346
29 -1.683 -1.582 -2.367 -0.392 -0.485 -1.348 -0.671 -0.812 -1.75 -0.261 1.291 -0.382
30 -1.989 -2.226 3.263 0.738 0.51 -0.915 -0.5 -0.642 1.103 -1.279 2.222 0.081
31 -1.323 -2.327 -3.494 -0.166 -1.939 -0.119 -0.648 0.657 -1.528 0.031 0.207 1.486
32 2.278 -0.28 -2.199 3.339 2.393 1.393 1.459 -0.907 2.051 0.172 -0.443 0.057
33 2.411 -1.295 -0.258 3.467 2.545 0.228 0.547 0.087 1.331 0.591 0.221 -0.952
34 0.641 -2.039 -1.606 -2.533 -0.423 -0.331 -0.237 0.324 0.633 0.282 -0.651 -0.199
35 0.453 5.461 -1.763 -0.457 0.028 0.784 0.241 0.076 1.256 0.016 0.617 -0.298
36 -2.572 -0.652 2.302 0.137 0.54 0.08 1.196 0.264 -0.021 0.105 -0.92 -0.295
37 1.989 2.24 1.857 5.161 4.638 1.476 -0.385 -0.228 2.374 -0.117 -0.94 -0.103
38 -99 -99 -99 -99 -99 -99 0.604 0.279 0.347 -0.23 0.799 0.346
39 0.733 -0.332 -0.392 -1.608 -0.955 0.691 0.031 -0.384 -2.151 0.113 0.693 0.359
40 -99 -99 -99 -99 -99 -99 -0.772 0.173 -0.074 -0.278 3.303 1.639
41 -1.943 0.328 -3.035 -0.815 -0.783 0.326 -0.734 -0.613 -1.743 -0.051 -0.373 0.091
42 -1.898 0.488 2.364 -0.585 0.736 1.507 0.807 -1.085 0.879 0.916 -2.166 0.13
43 -99 -99 -99 -99 -99 -99 -1.632 -0.677 -1.84 -0.313 1.448 1.23
44 -1.165 -1.365 -1.484 0.254 1.161 0 -0.002 -1.782 2.751 -0.768 0.028 1.809
45 -3.916 -0.342 -0.671 2.889 2.823 0.586 -0.963 -1.61 1.54 0.042 -1.404 -0.309
46 -1.299 -1.57 -1.119 -0.139 -1.205 -1.118 -2.338 -1.456 -2.296 -0.086 2.597 -0.473
47 0.694 1.653 0.833 0.263 2.712 -0.133 -0.531 0.845 1.137 0.023 -0.114 0.217
