1 -0.649 -0.89 2.395 -0.874 -1.29 0.879 0.87 -1.202 -1.645 -0.31 -0.254 -0.593
2 2.055 0.206 1.108 3.127 4.458 0.544 1.273 1.59 -0.275 -0.142 0.056 -0.346
3 -99 -99 -99 -99 -99 -99 -1.588 -0.267 0.032 -1.324 4.26 0.228
4 0.136 -0.806 -3.811 -3.113 -3.914 0.116 0.124 -0.77 -1.338 -0.38 0.183 -0.206
5 -1.147 0.064 -4.215 -0.996 -1.064 0.427 -1.279 0.429 0.978 -0.281 -1.486 0.448
6 1.053 -2.963 2.206 0.767 0.662 -1.121 -0.419 0.164 1.746 -0.336 -0.444 -0.293
7 -1.686 0.732 -3.767 -1.196 -1.658 -0.453 -0.33 -0.525 -0.463 -0.068 1.895 0.347
8 0.134 -0.472 -2.383 -1.172 0.943 -0.524 1.292 -1.503 -1.671 -0.086 1.393 -0.173
9 -0.368 -2.141 0.463 -0.967 1.346 -0.702 1.828 -0.469 0.744 -0.255 -2.89 -0.141
10 2.422 -1.3 4.658 1.914 2.237 1.289 -0.947 0.595 1.487 0.344 -0.431 -0.804
11 -0.66 -1.141 0.617 0.14 -0.374 1.48 -99 -99 -99 -99 -99 -99
12 1.78 0.039 -1.332 2.234 4.353 -1.168 -0.5 1.137 1.826 -0.036 -0.618 -0.384
13 0.675 -1.26 -2.459 -2.169 1.666 -0.933 0.424 2.12 -0.027 0.172 -0.488 -0.719
14 1.008 -1.549 3.716 0.699 2.028 1.035 0.323 1.372 1.547 0.291 -0.687 -0.066
15 0.446 0.943 -2.381 -2.518 0.771 0.47 -0.576 0.927 1.459 -0.333 -1.176 -1.229
16 -0.015 2.158 -2.189 -0.957 -0.804 0.036 0.433 0.067 -1.109 -0.563 0.704 -1.632
17 0.246 -2.989 -1.998 -1.361 -0.728 -1.225 -1.113 0.61 -0.574 -0.329 1.62 -0.672
18 -0.415 -0.507 1.823 -2.031 -2.418 -0.244 -99 -99 -99 -99 -99 -99
19 -0.966 -0.775 -1.191 -1.235 -1.34 -0.437 0.834 -0.123 -0.305 -0.785 -0.212 0.602
20 -1.046 -1.109 -3.997 -0.277 -0.318 -1.154 -0.08 -0.635 -2.176 -0.512 1.25 -0.857
21 -0.189 0.324 -1.031 0.824 2.957 0.979 1.035 -2.893 2.484 -0.193 -0.864 -0.158
22 -0.952 -0.869 -1.478 -0.288 -0.724 -1.274 0.326 0.073 -1.875 -0.472 -0.338 0.393
23 -0.765 0.323 -3.197 -0.607 -1.519 -0.575 -0.118 -1.576 -1.92 -0.265 1.317 -0.271
24 0.772 -0.978 -3.58 2.511 6.088 0.375 0.937 -0.022 -1.101 -0.13 -1.954 0.57
25 1.669 -0.528 2.803 4.441 6.259 0.181 0.256 -0.547 1.143 0.789 -0.013 0.583
26 1.387 0.044 -2.756 -4.116 -0.533 0.535 0.174 0.903 0.627 0.013 -0.579 0.382
27 0.978 -0.591 -2.829 0.152 2.617 -0.071 0.191 2.259 1.56 -0.384 0.069 0.846
28 -0.888 2.689 -2.936 -0.791 -0.873 -0.916 -0.155 -1.133 0.387 0.605 -1.799 1.244
29 -1.534 -1.109 -1.566 -0.52 -0.394 -1.258 -0.432 -0.198 -1.386 -0.032 1.493 -0.493
30 -2.048 -1.825 2.544 0.203 0.849 -0.493 -0.022 0.13 0.796 -0.699 1.063 -0.508
31 -1.295 -0.616 -3.835 -1.148 -2.41 0.241 -0.108 0.891 -1.156 0.435 0.512 1.148
32 1.917 0.195 -2.105 3.65 3.388 1.811 0.835 -0.768 1.229 0.494 -0.514 -0.658
33 2.035 -1.118 -0.306 2.016 1.501 0.63 -0.175 -0.405 1.968 0.28 -1.539 -1.639
34 -0.045 -0.809 -0.926 -1.763 0.224 -0.165 -0.043 0.435 0.551 0.134 -0.652 0.12
35 0.162 4.379 -1.626 -0.502 0.653 1.254 -0.195 0.306 0.882 0.981 0.224 -0.692
36 -2.578 -0.383 2.293 0.216 1.49 0.405 0.956 -1.312 1.315 0.168 -0.645 1.037
37 2.353 1.849 2.82 3.488 4.375 1.308 0.162 0.236 1.722 -0.294 -0.439 -0.858
38 -99 -99 -99 -99 -99 -99 0.889 1.26 0.441 0.107 0.066 0.477
39 0.357 -0.251 -0.737 -1.082 0.277 0.6 -0.443 -0.03 -0.492 0.164 0.271 -0.027
40 -99 -99 -99 -99 -99 -99 -1.096 0.373 -0.996 -0.328 3.178 0.405
41 -1.834 0.623 -3.413 -0.974 -1.517 0.264 -0.813 -0.518 -1.48 0.135 0.415 -0.541
42 -2.239 0.68 3.172 -0.665 1.226 1.761 0.146 -0.531 1.119 0.523 -0.971 -0.361
43 -99 -99 -99 -99 -99 -99 -0.759 -0.274 -1.061 0.191 1.553 -0.024
44 -0.2 -0.098 -1.789 -0.509 1.242 -0.472 0.224 -2.053 1.734 -0.295 -0.568 0.524
45 -3.776 -0.359 -0.454 2.414 3.547 0.971 -1.135 -2.846 1.697 0.303 -3.865 -0.38
46 -2.038 0.328 -1.039 -0.777 -0.239 -1.436 -1.917 -1.742 -1.447 0.182 2.473 -0.35
47 0.637 2.886 1.907 0.151 1.681 0.003 -0.632 1.5 0.348 0.108 -0.962 -0.427
