1 -1.053 -0.076 3.141 -1.813 -1.778 0.742 0.888 -0.502 -1.954 -0.128 -1.325 -1.319
2 2.279 -2.319 1.02 2.937 4.201 0.124 0.689 0.996 -0.51 -0.509 0.703 -0.363
3 -99 -99 -99 -99 -99 -99 -1.326 -0.129 -0.979 0.108 3.047 0.189
4 1.018 -0.391 -2.865 -3.121 -3.488 0.048 -0.352 -0.574 -1.349 -0.498 1.376 -0.09
5 -0.915 0.23 -4.442 -1.725 -1.16 0.362 -0.336 0.438 -0.465 -0.197 0.356 0.153
6 1.618 -2.097 2.401 1.134 0.323 -1.05 -0.829 0.424 1.58 0.41 -0.452 -0.057
7 -1.326 0.205 -3.237 -1.39 -1.359 0.926 -0.252 -0.764 -0.993 -0.254 0.85 0.45
8 -0.011 -1.274 -1.152 -0.842 1.34 -0.182 0.255 -0.522 -1.488 -0.157 0.912 -0.698
9 -0.377 -1.675 0.381 -0.652 2.082 -0.878 0.967 -0.368 0.476 -0.065 -1.683 -0.01
10 2.495 -2.3 4.315 2.008 2.208 0.779 0.214 0.313 1.689 -0.052 0.287 -0.157
11 -0.684 -1.568 0.807 -0.02 -1.013 1.828 -99 -99 -99 -99 -99 -99
12 1.238 -0.383 -0.148 3.199 3.035 -0.742 -0.869 1.527 1.306 -0.168 -0.401 -0.174
13 0.502 -2.082 -2.37 -2.621 1.127 -0.59 1.192 0.78 -0.203 0.065 -0.864 -0.231
14 1.101 -3.357 4.505 0.716 1.383 1.155 0.395 1.877 1.476 0.847 0.048 -0.703
15 0.569 0.436 -1.659 -2.144 1.071 0.49 -0.544 1.368 1.831 0.489 -1.444 -1.007
16 0.429 2.32 -2.251 -1.343 0.395 -0.048 1.012 0.365 -0.817 -0.566 0.221 -1.635
17 0.11 -2.676 -1.383 -0.579 -0.498 -1.205 -1.043 0.671 -0.408 0.377 2.262 -1.036
18 -0.334 -1.695 2.524 -2.371 -2.381 -0.142 -99 -99 -99 -99 -99 -99
19 -0.937 -2.488 -1.996 -1.239 -1.809 -0.341 0.19 0.265 -0.231 -0.761 0.169 0.567
20 -0.787 -0.679 -2.739 -1.234 -0.59 -0.915 0.149 -0.485 -1.596 0.143 0.806 -0.653
21 -0.551 -0.796 -1.051 1.478 2.68 0.951 0.16 -2.608 2.572 -0.238 -1.354 0.706
22 -0.961 -2.036 -2.324 -0.322 -0.975 -0.94 0.635 0.486 -2.07 -0.469 -0.243 1.132
23 -1.277 0.568 -3.249 -0.85 -0.403 -0.493 -1.273 -1.197 -2.052 0.09 2.456 0.074
24 0.467 -0.813 -3.472 2.574 5.484 0.243 1.37 0.973 -1.473 0.118 -2.216 0.376
25 1.922 -1.083 3.312 4.873 5.519 0.415 0.344 -0.309 0.525 0.891 -1.177 1.447
26 2.285 0.395 -2.68 -3.885 -2.148 0.415 -0.837 0.665 0.065 0.144 1.506 -0.154
27 1.004 0.234 -2.932 0.321 1.303 0.122 -0.053 1.619 1.43 -0.111 0.331 0.395
28 -0.97 2.33 -2.643 -0.533 -1.462 -0.828 0.121 -0.783 -0.254 1.002 -0.257 1.743
29 -1.649 -1.144 -2.862 -0.623 -1.1 -1.096 -0.2 -0.31 -1.309 -0.355 1.196 -0.19
30 -1.723 0.364 1.227 0.206 0.741 -0.188 -0.661 -0.287 0.584 -0.303 0.811 0.368
31 -0.764 -1.618 -3.229 -0.698 -3.21 -0.215 0.303 0.805 -1.689 0.157 -0.39 1.523
32 1.523 -0.063 -2.802 3.277 2.269 0.817 0.662 -0.362 1.234 0.253 -0.299 -0.282
33 2.667 -1.299 0.287 3.412 2.6 0.772 0.409 0.594 2.122 0.207 0.065 -1.302
34 0.278 -2.329 -0.85 -1.244 0.059 -0.173 -0.137 0.598 -0.31 0.013 -0.945 -0.938
35 0.604 5.099 -2.322 -0.839 0.492 0.659 -0.215 -1.088 0.812 0.654 -0.404 0.122
36 -2.314 -0.745 2.008 0.27 1.059 -0.134 0.867 0.16 1.155 -0.287 1.052 0.338
37 2.708 1.645 1.638 3.649 4.724 1.523 0.056 -0.676 2.328 -0.186 -0.294 -0.392
38 -99 -99 -99 -99 -99 -99 0.654 -0.333 -0.411 0.51 0.25 1.131
39 0.6 0.132 -0.752 -0.268 -0.341 0.875 0.555 -0.101 -0.751 0.029 0.554 -0.629
40 -99 -99 -99 -99 -99 -99 -0.698 0.61 -1.966 -0.372 1.733 0.608
41 -1.403 0.199 -3.102 -1.129 -1.392 0.214 -0.701 0.214 -1.352 -0.275 -0.16 -0.41
42 -2.184 0.183 2.279 -0.756 0.672 1.534 0.354 -0.682 0.877 0.45 -2.486 0.529
43 -99 -99 -99 -99 -99 -99 -0.646 -0.554 -1.426 -0.246 1.223 0.95
44 -0.512 -0.965 -1.261 -0.987 0.732 -0.143 0.209 -1.159 1.666 -0.692 -0.091 1.485
45 -3.232 -1.038 -0.683 1.884 2.77 0.894 -1.358 -2.546 1.979 -0.154 -1.379 -0.561
46 -1.681 -1.069 -0.606 -0.584 -0.785 -1.282 -1.714 -1.116 -1.767 -0.222 1.873 -0.573
47 1.337 2.144 1.412 0.112 1.884 0.179 -0.533 1.152 0.636 -0.25 -0.25 -0.482
