1 -0.942 -0.546 1.705 -2.463 -2.46 1.036 0.932 -1.682 -2.33 -0.554 -1.312 -0.698
2 3.12 -0.456 0.305 2.835 4.545 0.189 0.281 1.419 -0.745 -0.156 -0.139 -1.228
3 -99 -99 -99 -99 -99 -99 -1.493 -0.558 -0.49 -0.42 2.921 0.769
4 0.538 -0.36 -3.26 -2.374 -2.73 0.054 0.576 -1.295 -0.842 -0.624 -0.54 0.207
5 -1.226 0.16 -3.668 -1.014 -1.116 0.237 -0.852 1.728 0.509 -0.154 -2.342 0.904
6 1.435 -1.727 1.767 0.538 0.925 -1.501 -0.007 0.221 1.856 0.526 -0.823 -0.31
7 -1.52 0.721 -2.619 -0.403 -0.895 -0.658 -0.291 -1.009 0.018 0.168 1.034 0.76
8 0.371 -1.937 -2.23 -1.116 2.246 -0.735 -0.589 -1.101 -1.033 -0.322 0.969 0.002
9 -0.485 -2.105 0.622 -0.404 1.997 -0.872 0.882 -0.709 1.415 -0.077 -3.167 -0.22
10 2.614 -1.377 5.074 2.53 2.162 1.154 0.103 0.601 1.878 0.101 -0.327 -0.455
11 -0.76 -1.618 0.349 -0.011 -0.138 1.603 -99 -99 -99 -99 -99 -99
12 1.629 1.656 -0.599 2.606 3.576 -1.323 -0.838 0.997 1.366 0.219 -0.734 -0.091
13 1.261 -1.567 -2.376 -1.628 1.65 -0.49 1.016 1.652 -0.254 0.237 -0.794 -0.215
14 1.198 -1.16 3.26 1.746 1.865 0.91 0.629 1.151 1.795 0.309 -0.787 -0.172
15 0.505 -0.088 -1.358 -2.047 1.579 0.346 -0.528 1.093 1.768 -0.461 -1.838 -0.692
16 0.103 2.351 -1.18 -0.94 -0.066 -0.137 0.228 0.095 -0.813 -0.343 0.673 -1.165
17 0.297 -1.999 -1.232 -1.442 -0.134 -1.156 -0.335 0.252 -0.867 0.264 1.237 -0.462
18 -0.096 -0.755 1.345 -1.025 -2.99 -0.158 -99 -99 -99 -99 -99 -99
19 -0.806 -0.373 -1.379 -1.309 -1.164 -0.461 0.87 0.399 0.853 -0.893 0.164 1.549
20 -0.972 -0.385 -4.543 -0.567 -0.995 -0.886 -0.188 -0.632 -1.288 -0.439 1.288 -0.604
21 -0.081 -0.356 -1.06 1.022 1.764 1.238 0.601 -2.724 2.47 -0.111 -1.594 0.456
22 -0.908 -1.301 -3.199 -0.996 -1.644 -1.196 0.719 -0.457 -1.69 -0.742 -0.393 1.053
23 -1.292 0.661 -4.509 -0.798 -1.042 0.415 -0.871 -0.923 -1.931 -0.044 1.372 -0.157
24 0.811 -0.906 -3.644 2.329 4.322 0.916 1.149 0.752 -0.837 0.157 -1.297 0.815
25 2.194 -0.425 3.006 3.473 4.959 0.41 0.411 -0.002 0.881 -0.059 -0.145 0.984
26 1.968 0.359 -1.107 -3.098 -1.516 0.486 -0.148 1.399 1.059 0.384 0.958 0.471
27 0.518 -0.904 -3.765 0.499 1.387 0.01 0.566 1.416 1.895 0.405 -0.036 0.733
28 -0.933 1.803 -3.129 -0.096 -1.048 -0.857 0.286 -2.045 0.252 0.144 -1.326 1.586
29 -1.706 -1.119 -2.388 0.107 0.314 -0.889 -0.766 -0.917 -1.41 0.166 1.347 0.13
30 -2.076 -2.099 2.343 0.035 1.516 -0.656 -0.363 -0.355 1.12 -0.391 1.196 -0.054
31 -1.239 -1.913 -3.707 -0.347 -2.063 -0.008 -0.084 0.868 -1.519 0.254 -0.286 1.246
32 1.937 0.114 -2.57 3.691 1.839 1.191 1.644 -0.839 1.686 0.245 -1.685 0.237
33 2.594 -0.856 -0.239 2.669 1.595 0.711 0.215 0.17 2.18 0.361 -0.639 -1.198
34 0.683 -1.022 -1.054 -2.013 -0.479 -0.424 0.146 0.314 0.54 0.532 -1.122 -0.998
35 0.455 5.009 -2.185 -1.106 1.079 0.987 -0.24 0.623 1.522 0.566 -0.311 0.013
36 -2.457 0.002 1.713 0.529 0.868 0.287 0.182 -0.043 0.689 -0.002 0.323 0.328
37 2.288 2.08 2.277 2.716 4.928 1.525 0.144 -1.015 2.284 -0.383 -0.155 -0.241
38 -99 -99 -99 -99 -99 -99 0.673 1.535 -0.732 -0.251 0.194 -0.258
39 0.419 -0.248 -0.041 -0.841 -0.578 0.485 -0.232 0.059 0.551 -0.444 1.061 0.003
40 -99 -99 -99 -99 -99 -99 -0.548 0.073 -1.817 0.167 3.8 0.552
41 -1.793 0.853 -4.006 -0.831 -0.509 0.454 -0.961 -0.092 -0.536 -0.197 -0.521 -0.758
42 -1.4 1.313 2.101 -0.565 1.28 1.365 0.36 -0.784 1.822 0.684 -1.122 0.101
43 -99 -99 -99 -99 -99 -99 -0.692 -0.767 -1.622 -0.361 1.615 0.833
44 0.013 0.056 -1.613 0.02 0.965 0.108 0.064 -2.179 1.336 0.063 -0.202 0.97
45 -3.618 -0.731 -0.939 3.006 3.957 0.931 -0.709 -3.016 1.595 -0.245 -2.635 -0.912
46 -1.491 0.015 -0.126 -0.687 0.014 -1.193 -1.815 -1.871 -1.619 -0.341 1.869 -0.246
47 1.068 3.304 1.784 -0.344 2.432 0.169 -0.567 1.2 1.155 -0.205 -0.986 0.02
