1 -0.836 -2.033 1.555 -2.658 -2.054 0.437 1.009 0.038 -0.411 -0.169 -0.996 -1.891
2 2.369 -3.084 0.278 3.519 4.64 0.416 1.24 1.382 -0.896 -0.268 -0.117 -0.886
3 -99 -99 -99 -99 -99 -99 -1.984 0.423 -0.326 1.031 3.611 0.807
4 0.345 -0.34 -2.714 -2.94 -2.738 -0.405 -0.162 -0.751 -0.436 -0.611 -0.384 -0.325
5 -0.953 -0.028 -3.145 -1.303 -1.48 0.309 -0.833 0.482 -0.478 -0.123 0.153 2.46
6 0.924 -1.604 1.51 1.052 0.654 -1.073 -0.611 0.095 1.553 0.567 0.03 -0.752
7 -1.822 0.563 -1.904 -0.553 0.144 -0.841 -0.657 -0.776 -0.756 0.051 1.447 1.259
8 0.166 -1.932 -3.295 -0.799 1.65 -0.653 1.824 -0.643 -0.858 -0.037 1.026 0.287
9 -0.414 -1.126 0.921 -0.76 2.939 -1.263 1.248 -0.278 1.545 -0.064 -3.454 0.594
10 1.537 -2.04 3.642 2.954 1.851 1.027 -0.181 0.753 1.233 -0.144 0.504 0.228
11 -1.02 -0.91 0.99 0.141 -1.14 0.786 -99 -99 -99 -99 -99 -99
12 1.797 -0.111 1.103 2.416 3.353 -0.897 -0.585 1.158 1.383 0.249 -0.531 -0.016
13 0.908 -2.488 -1.546 -1.844 1.392 -0.701 1.614 2.176 0.212 0.514 -0.832 -0.621
14 1.127 -3.183 3.69 1.105 2.027 0.833 0.618 1.822 1.879 0.65 0.33 -0.004
15 0.562 0.554 -2.335 -2.247 2.211 0.181 -0.819 1.6 1.962 -0.461 -1.267 -0.331
16 -0.031 2.063 -1.295 -0.622 -1.375 -0.357 0.681 0.999 -1.242 -0.316 0.729 -1.379
17 0.571 -1.747 -1.58 -0.937 0.729 -0.979 -0.804 -0.345 -0.632 -0.036 1.163 -0.756
18 -0.111 -0.957 1.117 -0.954 -2.193 0.034 -99 -99 -99 -99 -99 -99
19 -0.747 -1.313 -1.368 -0.902 -1.957 -0.039 0.784 -0.61 0.136 -0.33 0.023 0.464
20 -1.047 -1.585 -3.878 -0.563 -1.44 -1.186 0.444 -0.768 -1.197 -0.035 1.251 -0.3
21 0.324 0.248 -1.303 1.825 2.002 1.018 -0.096 -2.64 1.97 0.02 -1.554 1.275
22 -1.252 -1.209 -1.369 -0.385 -1.377 -1.665 1.064 0.083 -2.309 -0.265 -0.582 1.386
23 -0.883 0.641 -2.896 -1.012 -0.444 -0.641 -1.003 -1.432 -1.114 -0.41 2.238 0.03
24 0.508 -0.772 -3.384 3.386 4.738 -0.033 1.944 0.931 -1.354 0.006 -0.537 0.582
25 1.498 -1.743 3.486 6.883 6.09 0.6 0.746 -0.009 0.708 0.562 -0.307 0.714
26 1.776 0.05 -2.12 -3.204 -1.344 0.333 0.052 0.502 1.095 0.002 1.264 0.641
27 0.578 -1.275 -2.751 0.427 1.68 -0.289 0.431 1.445 2.254 -0.318 -0.146 0.861
28 -1.228 2.673 -2.713 0.503 -0.064 -1.665 -0.245 -1.546 0.161 0.69 0.556 2.026
29 -1.521 -1.265 -1.943 -0.796 0.104 -0.905 -0.432 -0.03 -1.84 -0.148 1.683 0.658
30 -2.395 -3.192 3.401 0.869 1.558 -0.728 0.471 0.601 0.149 -0.88 1.093 -0.042
31 -1.186 -1.209 -3.956 -0.438 -1.662 -0.022 0.069 1.065 -1.359 0.327 -0.169 1.198
32 1.767 -0.465 -2.909 4.372 2.99 1.36 1.945 -0.375 1.674 0.718 -0.656 0.046
33 1.929 -1.259 -0.524 2.672 1.778 1.132 0.354 0.522 1.829 0.41 -0.047 -1.158
34 0.684 -2.798 -1.152 -1.846 -0.894 -0.008 -0.019 -0.097 0.895 -0.238 -1.071 -0.143
35 0.494 5.786 -2.567 -0.984 0.54 0.877 -0.434 0.132 1.199 0.805 0.154 0.316
36 -2.145 -0.323 2.006 -0.101 1.109 0.072 -0.16 0.193 1.177 0.126 0.593 0.377
37 2.571 1.91 1.86 3.728 5.872 1.863 0.233 -0.519 1.039 -0.3 0.034 -0.2
38 -99 -99 -99 -99 -99 -99 1.523 -0.061 -0.725 0.08 0.875 -0.117
39 0.567 -0.984 -0.605 -0.8 -1.366 0.397 0.285 -0.744 -0.791 0.226 0.977 -0.718
40 -99 -99 -99 -99 -99 -99 -0.865 0.717 -2.211 0.064 2.73 0.937
41 -1.655 1.093 -3.085 -0.27 -0.551 0.465 -0.873 -0.761 -1.337 -0.296 0.196 0.446
42 -1.992 1.096 3.151 -0.323 0.601 1.195 1.21 -0.733 1.36 0.96 -3.152 0.313
43 -99 -99 -99 -99 -99 -99 -0.373 -0.114 -0.884 -0.42 1.33 0.789
44 -0.486 -0.629 -1.867 0.323 0.588 -0.147 0.748 -1.988 2.388 -0.638 -0.437 1.331
45 -3.715 -1.073 -0.599 3.05 3.951 0.236 -1.022 -2.36 1.237 -0.151 -0.494 -0.531
46 -1.636 -1.598 -0.274 -0.612 -0.952 -1.291 -1.561 -1.202 -2.045 0.162 2.038 -1.066
47 1.407 2.476 1.213 0.187 1.955 0.159 0.502 1.468 1.336 -0.488 -0.628 -0.121
