1 -0.535 -0.67 3.519 -2.119 -2.842 0.853 0.908 -0.87 -0.176 -0.719 0.019 -0.825
2 2.238 -0.29 -0.549 3.879 7.41 0.888 0.621 1.842 -0.466 0.029 0.399 -0.126
3 -99 -99 -99 -99 -99 -99 -1.503 0.743 -0.898 0.544 2.908 0.546
4 0.376 0.267 -3.653 -2.971 -2.787 0.192 0.952 -0.214 -1.176 -0.508 0.282 0.078
5 -0.991 0.425 -3.013 -1.536 -1.326 0.834 -1.481 1.686 0.811 0.168 1.138 0.958
6 0.747 -3.127 1.863 -0.014 1.063 -0.885 -0.698 -0.087 1.707 0.327 0.457 -0.196
7 -1.551 0.797 -2.294 -0.91 -1.402 0.589 -0.616 -0.727 -0.219 0.06 1.383 0.788
8 0.439 -0.467 -1.824 -0.507 1.006 -0.309 -0.952 -1.39 -1.683 -0.098 0.975 -0.419
9 -0.294 -1.207 0.771 -0.361 2.47 -0.686 1.101 -0.323 0.904 -0.395 -1.863 0.397
10 2.032 -1.425 4.328 2.809 2.499 1.9 -0.629 0.388 2 0.195 -0.555 -0.199
11 -0.399 -0.615 -0.133 0.294 -1.097 1.822 -99 -99 -99 -99 -99 -99
12 1.88 -0.037 0.447 3.186 4.16 -0.628 -0.717 1.162 2.04 -0.001 0.396 -0.08
13 0.51 -1.989 -2.339 -1.804 1.371 -0.34 -0.039 2.186 0.535 0.18 -0.092 -0.746
14 0.46 -1.564 3.528 1.261 1.696 1.451 0.52 2.049 1.776 0.205 0.066 -0.18
15 0.096 0.538 -1.84 -2.315 1.083 1.055 -1.028 1.357 1.549 -0.121 -0.926 -0.738
16 0.238 3.011 -1.845 -1.25 -1.1 0.153 0.854 0.656 -1.149 -0.097 0.705 -1.92
17 -0.007 -1.327 -1.377 -1.25 -0.262 -0.927 -1.57 0.62 -1.832 -0.293 2.318 0.939
18 -0.355 0.399 1.238 -2.69 -2.098 0.3 -99 -99 -99 -99 -99 -99
19 -0.917 0.362 -1.639 -1.329 -1.149 0.127 1.018 0.366 -0.08 -0.381 0.041 1.284
20 -1.161 -0.825 -4.42 -1.29 -0.82 -0.857 0.575 -0.268 -1.911 -0.216 1.501 -0.636
21 0.138 -0.389 -1.675 1.646 3.352 1.402 0.675 -2.416 3.823 -0.291 -1.523 0.537
22 -1.204 -0.511 -2.408 -0.534 -1.003 -1.141 0.319 0.47 -2.379 -0.642 0.031 0.633
23 -1.182 1.294 -3.015 -0.417 -1.502 0.182 -0.885 -1.318 -1.529 -0.153 1.9 -0.424
24 0.696 0.106 -3.231 2.583 3.482 0.702 1.75 1.255 -1.137 0.053 -0.766 1.142
25 1.936 -0.527 3.762 4.257 5.58 1.368 0.413 0.545 1.414 0.533 -1.354 0.232
26 1.968 0.04 -2.22 -3.089 -1.488 0.916 -0.579 0.279 0.272 -0.028 0.68 0.003
27 0.52 -0.509 -1.781 -0.074 2.322 0.176 0.472 1.339 1.771 -0.023 -0.174 0.357
28 -0.944 2.362 -4.447 -0.434 -0.989 -0.563 -0.102 -1.198 0.022 0.04 -0.156 2.4
29 -1.685 -0.454 -2.444 -0.775 -0.211 -0.973 -0.912 -0.141 -1.605 -0.2 1.623 0.22
30 -2.519 -0.38 0.323 0.399 1.384 -0.514 -0.655 -0.253 0.289 -0.88 1.258 -0.093
31 -0.93 -0.418 -4.969 -0.336 -3.255 0.288 -0.466 0.793 -0.933 0.211 -0.676 1.709
32 2.089 0.065 -1.985 3.764 2.325 1.618 0.691 0.031 1.755 0.417 -1.285 0.381
33 2.435 -0.202 -0.169 2.192 1.794 1.204 -0.266 0.171 1.474 0.489 -0.436 -0.846
34 0.253 0.451 -1.349 -1.094 -0.635 -0.011 -0.486 0.61 0.925 -0.099 -0.493 -0.621
35 0.693 4.828 -2.735 -1.292 0.355 0.87 -0.591 0.311 0.633 0.744 0.358 -0.85
36 -2.731 -0.332 1.89 -0.308 0.206 0.426 1.437 0.898 -0.144 0.426 -1.213 0.128
37 3.064 1.371 2.285 5.042 3.754 1.73 0.036 -0.491 1.122 0.033 0.479 -0.181
38 -99 -99 -99 -99 -99 -99 0.874 -0.661 0.266 0.526 0.326 0.531
39 0.666 0.162 -0.387 -0.581 -0.923 0.839 0.016 0.235 -0.806 -0.069 0.042 0.226
40 -99 -99 -99 -99 -99 -99 -0.834 0.524 -0.974 -0.083 3.25 1.458
41 -1.776 1.021 -4.266 -1.2 -0.618 0.644 -0.604 0.286 -1.637 -0.126 0.708 -0.549
42 -2.411 0.481 2.455 -0.246 0.445 1.823 0.455 -0.336 1.288 0.769 -1.704 0.146
43 -99 -99 -99 -99 -99 -99 -1.539 0.122 -1.977 -0.162 1.544 1.512
44 -0.332 0.233 -1.782 -0.266 0.82 0.438 -0.029 -2.387 1.535 -0.512 -0.816 1.481
45 -4.19 0.743 -0.824 2.039 4.139 1.226 -1.423 -2.505 1.323 -0.262 -1.29 0.112
46 -1.564 -0.387 -1.267 -1.107 -0.545 -1.08 -0.921 -0.66 -2.104 -0.141 2.456 -0.628
47 0.586 1.873 0.761 0.241 2.128 0.513 -0.759 1.604 0.806 -0.219 -0.747 -0.215
