1 -0.499 -0.968 0.846 -2.857 -1.292 0.849 0.893 -0.434 -2.127 -0.033 -0.84 -1.21
2 2.073 0 0.008 3.687 4.484 0.78 0.483 1.718 -0.772 -0.071 0.288 -0.438
3 -99 -99 -99 -99 -99 -99 -1.636 0.863 -0.663 0.487 4.146 -0.04
4 0.689 -0.102 -3.019 -3.057 -3.132 0.288 0.641 -1.168 -1.919 -0.18 0.147 -0.325
5 -1.363 -0.358 -3.752 -0.394 -0.839 0.161 0.325 0.275 -0.468 0.443 0.699 -0.223
6 1.082 -1.444 1.547 1.056 0.7 -0.404 -0.229 -0.141 0.787 0.633 0.707 -0.348
7 -1.5 0.025 -2.727 -0.818 -0.555 0.05 -0.224 -0.215 -0.855 0.209 1.685 0.888
8 -0.373 -0.786 -1.349 -1.707 1.26 -0.257 0.222 -2.167 -1.182 0.207 0.736 -0.388
9 -0.312 -1.159 1.054 -0.594 1.881 -0.509 1.885 -0.441 0.383 -0.333 -2.376 -0.633
10 2.798 -1.53 4.884 2.26 1.986 1.291 -0.289 0.102 1.583 -0.136 -1.181 -0.911
11 -0.518 -1.139 0.491 0.095 -0.828 1.618 -99 -99 -99 -99 -99 -99
12 1.965 -0.046 -0.112 2.77 2.996 -1.333 -1.235 1.184 1.643 0.198 0.229 -0.24
13 0.706 -2.455 -2.516 -1.882 1.638 -0.23 0.979 1.955 0.097 0.498 -0.47 -0.291
14 0.661 -0.712 4.005 1.232 2.046 1.12 0.868 1.811 1.565 0.226 -0.269 -0.036
15 0.354 1.212 -1.756 -1.605 1.15 0.678 -0.57 0.594 1.347 -0.054 -1.446 -0.445
16 0.035 1.677 -1.703 -0.869 -0.874 -0.042 0.829 1.028 -0.899 0.159 0.75 -1.934
17 0.335 -2.333 -0.878 -0.976 1.05 -1.015 -0.962 -0.355 -1.368 -0.005 2.357 1.05
18 -0.374 2.001 0.245 -1.434 -0.258 -0.03 -99 -99 -99 -99 -99 -99
19 -1.028 0.086 -1.617 -1.519 -1.066 -0.075 0.509 -0.643 -0.225 -0.822 0.123 0.351
20 -1.424 -0.665 -4.815 -0.973 -1.298 -0.75 -0.328 0.052 -1.991 -0.174 0.714 -0.338
21 -0.11 -0.064 -1.519 1.051 2.652 1.681 0.739 -3.28 2.417 -0.251 -0.343 0.703
22 -0.722 -0.462 -0.811 -1.144 -1.109 -0.819 -0.107 0.542 -1.909 -0.564 -0.249 0.75
23 -1.061 0.166 -3.46 -1.044 -0.744 -0.117 -0.673 -2.18 -2.235 0.003 1.738 0.139
24 0.868 0.149 -3.637 2.98 3.863 0.462 1.242 0.722 -1.127 0.065 -0.577 0.864
25 1.549 -0.885 3.354 4.722 3.919 0.52 0.114 -0.456 0.115 0.374 -0.492 1.258
26 1.738 0.362 -3.026 -3.889 -0.283 0.529 0.126 0.787 -0.17 -0.406 0.55 -0.18
27 1.366 -0.957 -3.4 1.265 2.273 0.772 0.301 0.718 1.47 -0.377 -1.182 0.244
28 -1.314 2.884 -3.101 -1.118 -1.65 -0.664 -0.221 -1.127 -0.199 0.218 0.122 1.362
29 -1.906 -0.433 -1.808 -0.927 -0.572 -0.858 -0.806 -0.115 -1.991 -0.377 1.179 0.039
30 -2.207 -0.349 -1.399 0.493 0.081 -0.983 -0.324 -0.331 0.153 -0.393 1.736 -0.161
31 -0.74 -0.036 -5.472 -1.13 -3.362 0.61 0.306 1.101 -1.267 -0.128 -0.67 1.009
32 1.401 -0.29 -2.2 3.189 2.179 1.401 1.003 -0.104 2.208 0.183 -1.326 0.295
33 3.172 -0.453 -0.733 3.397 2.009 0.934 0.477 0.014 1.58 0.245 0.031 -0.943
34 0.679 -0.884 -1.452 -1.4 -0.231 0.316 0.179 0.004 0.68 -0.023 -1.307 -0.642
35 0.619 4.951 -1.846 -0.392 0.752 1.131 -0.435 0.57 0.442 0.81 0.695 -0.154
36 -2.286 -0.55 2.594 0.053 0.797 0.286 0.853 -0.643 -0.388 0.068 0.664 0.473
37 2.515 1.763 2.454 4.757 3.348 1.537 0.403 -0.535 1.704 0.227 -0.236 -0.47
38 -99 -99 -99 -99 -99 -99 0.763 1.821 -0.214 0.105 -0.047 0.493
39 0.08 0.161 0.212 -0.434 -0.851 0.92 -0.072 0.412 -1.098 0.52 0.479 -0.705
40 -99 -99 -99 -99 -99 -99 -0.991 0.869 -1.216 0.461 3.461 0.511
41 -1.281 0.981 -4.231 -0.955 -1.268 0.4 -1.215 -0.426 -2.068 -0.326 0.165 0.019
42 -2.316 1.261 2.995 -0.649 0.446 1.401 0.711 -0.648 0.939 0.595 -2.543 -0.258
43 -99 -99 -99 -99 -99 -99 -0.983 -0.851 -1.53 -0.112 1.748 0.521
44 -0.329 -0.615 -2.147 -0.263 1.082 0.522 -0.055 -1.976 1.261 -0.155 -1.033 1.568
45 -3.448 -0.459 -2.184 1.933 2.656 0.757 -1.111 -2.538 1.036 -0.164 -1.194 -0.411
46 -1.681 -0.444 -0.019 -0.848 -0.402 -0.954 -1.747 -1.698 -2.224 -0.004 3.327 -1.005
47 1.438 1.909 1.088 -0.175 2.719 0.358 -0.204 2.282 0.436 0.078 -0.911 -0.055
