1 -0.518 -0.256 2.737 -3.41 -1.12 0.616 0.604 -2.631 -2.018 -0.396 -0.391 -0.706
2 1.739 -1.142 0.536 3.461 5.478 0.451 0.199 0.661 -1.749 -0.225 -0.575 -0.769
3 -99 -99 -99 -99 -99 -99 -1.357 -0.344 -1.711 1.439 3.584 0.032
4 0.342 -0.716 -3.67 -2.486 -2.682 -0.337 0.552 -0.589 -1.252 -1.113 -0.328 0.584
5 -1.437 -0.206 -3.689 -0.373 -0.276 0.071 -0.775 0.665 -1.09 0.228 -0.741 0.39
6 1.291 -1.647 1.273 1.018 0.328 -0.992 -1.007 0.12 0.843 0.548 0.639 -0.52
7 -1.677 0.287 -2.66 -0.994 -0.526 -0.744 -0.452 -1.053 -0.04 0.028 1.357 0.252
8 0.254 -0.962 -2.141 -0.909 1.727 -0.535 0.106 -1.616 -1.35 -0.762 0.588 -0.194
9 0.138 -1.131 -0.055 -0.405 2.454 -1.109 1.993 -0.947 0.499 -0.182 -2.178 -0.589
10 2.22 -1.993 3.306 2.64 3.337 0.983 -0.921 0.044 2.171 0.316 -0.56 -0.328
11 -1.169 0.256 0.302 0.558 -0.65 1.108 -99 -99 -99 -99 -99 -99
12 1.587 -0.218 -0.281 2.713 3.321 -1.19 -0.486 1.452 1.046 0.033 0.223 0.3
13 0.951 -1.773 -2.078 -1.654 1.48 -0.754 0.469 1.885 -0.393 0.343 -1.379 -0.75
14 1.285 -2.403 3.317 0.608 2.375 0.799 0.092 1.124 0.841 0.952 0.168 -0.336
15 0.076 0.965 -1.156 -1.308 1.395 0.189 -1.399 0.939 1.779 -0.165 -1.312 -0.438
16 0.442 1.861 -1.08 -0.895 0.799 0.152 0.102 0.614 -1.473 -0.449 0.61 -1.515
17 0.183 -1.343 -2.22 -0.588 0.686 -1.136 -1.189 0.414 -0.529 -0.139 2.511 -0.792
18 0.071 0.398 1.533 -2.378 -1.566 -0.162 -99 -99 -99 -99 -99 -99
19 -0.446 -0.528 -1.435 -1.245 -1.611 -0.303 0.528 -0.019 -0.172 -0.768 0.028 1.041
20 -0.719 -0.715 -3.276 -0.302 -1.43 -1.536 -0.512 -0.666 -1.485 0.219 1.218 -0.44
21 0.178 -0.096 -0.258 1.295 2.342 0.902 0.262 -2.526 2.249 -0.17 -0.761 0.754
22 -1.643 -0.722 -1.907 -0.496 -1.137 -1.402 0.453 0.048 -2.035 -0.462 -0.481 0.781
23 -1.407 0.791 -3.892 -0.019 -0.496 -0.458 -0.385 -1.793 -2.044 -0.707 2.586 0.081
24 0.344 -0.481 -3.232 3.508 4.84 0.39 0.988 0.926 -1.224 0.046 -1.061 0.247
25 1.827 0.221 3.275 4.349 5.701 0.559 -0.025 -0.637 0.593 0.581 -1.216 0.485
26 1.665 -0.018 -2.825 -3.134 -1.394 0.603 0.184 0.443 0.105 -0.343 1.733 -0.242
27 0.75 -0.977 -2.945 0.292 1.71 -0.201 0.396 1.106 1.496 -0.098 -0.311 -0.249
28 -1.534 3.081 -3.828 -0.638 -1.103 -0.946 0.172 -1.518 0.205 0.688 -0.386 1.902
29 -2.226 -0.739 -2.61 0.143 0.514 -1.438 -0.248 -0.269 -1.498 -0.321 0.618 -0.729
30 -2.216 -3.016 1.287 0.912 1.457 -1.376 -0.826 -0.281 0.52 -0.766 2.054 -0.27
31 -0.944 -1.317 -4.503 -1.389 -2.943 -0.071 0.118 1.117 -2.113 0.127 -0.247 1.501
32 2.032 0.115 -2.111 3.08 2.338 1.205 0.598 -0.678 1.498 0.035 -1.806 0.271
33 1.809 -0.467 -0.739 3.542 2.318 1.044 -0.04 -0.161 2.103 0.176 -0.139 -1.151
34 0.104 -1.038 -0.956 -0.975 -0.534 -0.429 0.729 0.061 0.709 -1.14 -1.447 0.449
35 0.373 4.711 -2.347 0.496 0.81 0.669 -0.87 -0.226 0.53 0.816 0.156 -0.425
36 -2.44 -0.842 2.244 -0.05 1.665 0.135 -0.017 -0.367 0.548 -0.014 0.606 0.909
37 2.59 1.831 2.025 4.314 4.419 1.477 0.443 -0.86 1.94 0.068 -0.511 -1.021
38 -99 -99 -99 -99 -99 -99 1.065 0.228 -0.173 0.088 0.855 0.65
39 0.229 -0.547 0.171 -1.003 -0.703 0.066 0.168 -0.234 -0.407 0.155 0.251 -0.522
40 -99 -99 -99 -99 -99 -99 -1.096 0.45 -1.828 -0.352 4.113 1.354
41 -2.28 0.908 -3.248 -0.648 -0.007 0.39 -0.885 -0.978 -1.398 0.484 0.19 -0.836
42 -2.488 0.323 2.568 -0.595 0.243 1.502 0.465 -0.394 0.893 0.877 -1.555 -0.106
43 -99 -99 -99 -99 -99 -99 -0.758 -0.496 -2.029 -0.421 1.496 0.828
44 -0.331 -0.107 -1.192 0.367 0.603 0.338 -0.045 -1.938 1.773 -0.242 -0.511 0.7
45 -3.638 -0.916 0.044 2.812 3.524 0.837 -0.591 -2.836 1.399 0.004 -1.61 0.1
46 -1.633 -0.56 -0.992 -0.067 -0.779 -1.326 -2.282 -1.589 -2.077 -0.01 3.041 0.01
47 0.597 2.241 1.664 1.11 2.632 -0.089 -0.305 1.336 0.987 0.018 -1.209 -0.736
